judul,hyperlink,img_hyperlinks
"Dijual Rumah Luas di Jalan Markoni Atas, Balikpapan. Lt 689m2.",https://www.rumah123.com//properti/balikpapan/hos16097705/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1754588/2024-01-19-01-56-34-a7aaadc5-c336-4034-927b-db6746e3efdb.jpg
PERUMAHAN MEWAH BALIKPAPAN REGENCY,https://www.rumah123.com//properti/balikpapan/hos16097082/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16097082/original/hos16097082-rumah-di-jual-di-balikpapan-selatan-balikpapan-1705622535.jpg
ŔUMAH MINIMALIS 2 LANTAI SIAP HUNI DI SEPINGGAN BARU,https://www.rumah123.com//properti/balikpapan/hos16027286/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16027286/original/hos16027286-rumah-di-jual-di-balikpapan-selatan-balikpapan-1705042301.jpg
BALIKPAPAN PERUM BALIKPAPAN BARU,https://www.rumah123.com//properti/balikpapan/hos16026337/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16026337/original/hos16026337-rumah-di-jual-di-balikpapan-baru-balikpapan-1705038455.jpg
Rumah 3 Lantai Konsep Smart Home Tengah Kota Balikpapan,https://www.rumah123.com//properti/balikpapan/hos16025689/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1355633/2024-01-26-06-00-11-05cfe786-371d-42c2-bd61-f4cc15742bfc.png
RUMAH SATU LANTAI BESAR MATRIAL RUMAH PREMIUM DALAM KOMPLEK PERUMAHAN,https://www.rumah123.com//properti/balikpapan/hos15901391/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15901391/original/hos15901391-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703831261.jpg
TURUN HARGA !!RUMAH MURAH DEKET DOME DAN LOTTE MART BALIKPAPAN,https://www.rumah123.com//properti/balikpapan/hos15901390/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15901390/original/hos15901390-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703831259.jpg
CANTIK DAN TERAWAT HARGA BERSAING,https://www.rumah123.com//properti/balikpapan/hos9256386/,https://picture.rumah123.com/r123/720x420-crop/house/ho92/9256386/original/hos9256386-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703831254.jpg
BEST SELLER RUMAH ADA KOLAM RENANG HARGA 3M-AN,https://www.rumah123.com//properti/balikpapan/hos11418008/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11418008/original/hos11418008-rumah-di-jual-di-balikpapan-tengah-balikpapan-1703831247.jpg
RUMAH MURAH SIAP HUNI DEKAT BANDARA DAN KANTOR KEDINASAN,https://www.rumah123.com//properti/balikpapan/hos15901386/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15901386/original/hos15901386-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703831241.jpg
JARANG ADA DALAM KOMPLEK PERUMAHAN TENGAH KOTA,https://www.rumah123.com//properti/balikpapan/hos15901384/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15901384/original/hos15901384-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703831238.jpg
MINIMALIS LINGKUNGAN BERSIH RAMAH ANAK HOMMY,https://www.rumah123.com//properti/balikpapan/hos15901383/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15901383/original/hos15901383-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703831237.jpg
DUA LANTAI TIGA KAMAR SELANGKAH KE BALIKPAPAN BARU,https://www.rumah123.com//properti/balikpapan/hos15901382/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15901382/original/hos15901382-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703831234.jpg
RUMAH LAMA BANGUNAN LEGA HARGA ISTIMEWA,https://www.rumah123.com//properti/balikpapan/hos15901376/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15901376/original/hos15901376-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703831223.jpg
RUMAH DI GRAND CITY SEMI FURNISH 2 KAMAR,https://www.rumah123.com//properti/balikpapan/hos15900779/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900779/original/hos15900779-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703827389.jpg
RUMAH BAGUS JARANG ADA POSISI HOOK DALAM CLUSTER DEKAT MASJID NAMIRAH,https://www.rumah123.com//properti/balikpapan/hos15900778/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900778/original/hos15900778-rumah-di-jual-di-balikpapan-baru-balikpapan-1703827388.jpg
RUMAH TANPA DP ANGSURAN 3 JT-AN SETIAP BULAN,https://www.rumah123.com//properti/balikpapan/hos15900777/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900777/original/hos15900777-rumah-di-jual-di-balikpapan-tengah-balikpapan-1703827386.jpg
RUMAH DELAPAN KAMAR TIDUR DI SIMPANG JALAN BOLUVERD COCOK UNTUK MESS KANTOR RUMAH TINGGAL ATAU USAHA,https://www.rumah123.com//properti/balikpapan/hos15900776/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900776/original/hos15900776-rumah-di-jual-di-gn.-samarinda-balikpapan-1703827385.jpg
TURUN HARGA MENJADI TERBAIK RUMAH PETAK 3 PINTU KAMPUNG TIMUR MURAH COCOK UNTUK INVESTASI,https://www.rumah123.com//properti/balikpapan/hos11303029/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11303029/original/hos11303029-rumah-di-jual-di-gn.-samarinda-balikpapan-1703827382.jpg
MODERN MINIMALIS 1 LANTAI SIAP HUNI,https://www.rumah123.com//properti/balikpapan/hos15900773/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900773/original/hos15900773-rumah-di-jual-di-damai-balikpapan-1703827376.jpg
RUMAH DENGAN HARGA BANTING SIAPA CEPAT DIA DAPAT,https://www.rumah123.com//properti/balikpapan/hos15900769/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900769/original/hos15900769-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703827363.jpg
RUMAH TINGGAL TENGAH KOTA BALIKPAPAN,https://www.rumah123.com//properti/balikpapan/hos15900768/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900768/original/hos15900768-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703827361.jpg
CEPAT TENGAH KOTA HARGA BERSAING,https://www.rumah123.com//properti/balikpapan/hos9314664/,https://picture.rumah123.com/r123/720x420-crop/house/ho93/9314664/original/hos9314664-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703827358.jpg
MURAH DEKET PUSAT KOTA MOBIL SAMPAI TERAS RUMAH,https://www.rumah123.com//properti/balikpapan/hos15900766/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900766/original/hos15900766-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703827357.jpg
RUMAH TERAWAT MODERN MINIMALIS ONE GATE SYSTEM,https://www.rumah123.com//properti/balikpapan/hos15900673/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900673/original/hos15900673-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703826631.jpg
TURUN HARGA RUMAH DUA LANTAI DI KAWASAN ELIT,https://www.rumah123.com//properti/balikpapan/hos15900672/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900672/original/hos15900672-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703826630.jpg
RUMAH POSISI HOOK DI  HITUNG HARGA TANAH AJA,https://www.rumah123.com//properti/balikpapan/hos15900671/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900671/original/hos15900671-rumah-di-jual-di-balikpapan-utara-balikpapan-1703826625.jpg
EMPAT MILLIAR LANGSUNG HUNI NO RENOV2 RUMAH ADA KOLAM RENANG TERAWAT,https://www.rumah123.com//properti/balikpapan/hos15900670/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900670/original/hos15900670-rumah-di-jual-di-balikpapan-tengah-balikpapan-1703826624.jpg
BANGUNAN LAHAN BESAR KAWASAN ELIT DEKET MALL,https://www.rumah123.com//properti/balikpapan/hos15900669/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900669/original/hos15900669-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703826623.jpg
RUMAH DEKAT PERUSAHAAN THIESS DAN STADION BATAKAN,https://www.rumah123.com//properti/balikpapan/hos9371455/,https://picture.rumah123.com/r123/720x420-crop/house/ho93/9371455/original/hos9371455-rumah-di-jual-di-balikpapan-timur-balikpapan-1703826622.jpg
RUMAH MINIMALIS EMPAT KAMAR TIDUR DEKAT MASJID,https://www.rumah123.com//properti/balikpapan/hos15900667/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900667/original/hos15900667-rumah-di-jual-di-balikpapan-utara-balikpapan-1703826618.jpg
DUA MILLIAR RUMAH BESAR ASRI SIRKULASI UDARA BAGUS KAWASAN PREMIUM,https://www.rumah123.com//properti/balikpapan/hos15900666/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900666/original/hos15900666-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703826617.jpg
RUMAH PINGGIR JALAN RAYA LAHAN LUAS KONDISI TERAWAT DAN BAGUS DI  FULL FURNISH,https://www.rumah123.com//properti/balikpapan/hos11435530/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11435530/original/hos11435530-rumah-di-jual-di-balikpapan-utara-balikpapan-1703826614.jpg
HANYA 1 UNIT HARGA TERBAIK,https://www.rumah123.com//properti/balikpapan/hos15900643/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900643/original/hos15900643-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703826430.jpg
READY STOK RUMAH DEKAT KAMPUS UNTRI,https://www.rumah123.com//properti/balikpapan/hos15900642/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900642/original/hos15900642-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703826428.jpg
JARANG ADA DI CLUSTERNYA LAHAN LUAS HARGA ISTIMEWA,https://www.rumah123.com//properti/balikpapan/hos15900641/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900641/original/hos15900641-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703826426.jpg
RUMAH BAGUS TERAWAT DEKAT BANDARA SIAP HUNI,https://www.rumah123.com//properti/balikpapan/hos15900640/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900640/original/hos15900640-rumah-di-jual-di-balikpapan-timur-balikpapan-1703826425.jpg
RUMAH BESAR POSISI POJOK TURUN HARGA DEKAT RSKD KANUDJOSO,https://www.rumah123.com//properti/balikpapan/hos15900639/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900639/original/hos15900639-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703826424.jpg
COCOK UNTUK KOS KOSAN RUMAH MURAH DEKAT BANDARA TINGGAL FINISHING,https://www.rumah123.com//properti/balikpapan/hos15900635/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900635/original/hos15900635-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703826415.jpg
CANTIK SIAP HUNI EMPAT KAMAR  SIRKULASI UDARA BAGUS DEKAT SILOAM HOSPITAL,https://www.rumah123.com//properti/balikpapan/hos15900632/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900632/original/hos15900632-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703826410.jpg
DEKAT POLDA DAN RS HERMINA TERMURAH RUMAH BARU BONUS AC,https://www.rumah123.com//properti/balikpapan/hos15900631/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900631/original/hos15900631-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703826409.jpg
DEKAT RSKD KANUDJOSO  MURAH,https://www.rumah123.com//properti/balikpapan/hos15900630/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900630/original/hos15900630-rumah-di-jual-di-balikpapan-utara-balikpapan-1703826408.jpg
TURUN HARGA DEKAT BANDARA DAN LAUT BUTUH TER CEPAT,https://www.rumah123.com//properti/balikpapan/hos15900628/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15900628/original/hos15900628-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703826400.jpg
Rumah mewah di perumahan Pupuk dan sejuk,https://www.rumah123.com//properti/balikpapan/hos15898870/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15898870/original/hos15898870-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703816463.jpg
RUMAH  MEWAH WIKA DEKAT DARI RUMAH SAKIT,https://www.rumah123.com//properti/balikpapan/hos15849125/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1929388/2023-12-22-03-16-36-ca2de1a9-e532-4339-9a44-e671c3ea3cee.jpg
