Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik
3000.0,"Balikpapan Baru, Balikpapan",3.0,3.0,320,400,SHM - Sertifikat Hak Milik,2200
1750.0,"Balikpapan Baru, Balikpapan",4.0,2.0,120,136,HGB - Hak Guna Bangunan,2200
1050.0,"Balikpapan Selatan, Balikpapan",2.0,2.0,57,100,SHM - Sertifikat Hak Milik,2200
2200.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,374,220,SHM - Sertifikat Hak Milik,6600
1600.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,170,70,HGB - Hak Guna Bangunan,1300
800.0,"Sepinggan, Balikpapan",3.0,2.0,167,120,SHM - Sertifikat Hak Milik,1300
830.0,"Balikpapan Selatan, Balikpapan",4.0,1.0,84,115,SHM - Sertifikat Hak Milik,2200
550.0,"Balikpapan Selatan, Balikpapan",2.0,2.0,150,60,SHM - Sertifikat Hak Milik,1300
425.0,"Balikpapan Tengah, Balikpapan",3.0,1.0,98,85,SHM - Sertifikat Hak Milik,900
1500.0,"Balikpapan Utara, Balikpapan",3.0,2.0,210,98,SHM - Sertifikat Hak Milik,1300
580.0,"Balikpapan Tengah, Balikpapan",3.0,1.0,171,50,SHM - Sertifikat Hak Milik,1300
1700.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,126,79,HGB - Hak Guna Bangunan,2200
550.0,"Balikpapan Tengah, Balikpapan",3.0,1.0,166,160,SHM - Sertifikat Hak Milik,900
675.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,157,36,SHM - Sertifikat Hak Milik,900
935.0,"Balikpapan Tengah, Balikpapan",2.0,1.0,120,50,SHM - Sertifikat Hak Milik,1300
1450.0,"Balikpapan Utara, Balikpapan",4.0,2.0,211,269,SHM - Sertifikat Hak Milik,2200
680.0,"Balikpapan Tengah, Balikpapan",2.0,1.0,78,42,SHM - Sertifikat Hak Milik,1300
1060.0,"Balikpapan Tengah, Balikpapan",2.0,1.0,185,36,SHM - Sertifikat Hak Milik,1300
3000.0,"Marga Sari, Balikpapan",7.0,7.0,600,550,SHM - Sertifikat Hak Milik,1300
1350.0,"Balikpapan Selatan, Balikpapan",3.0,3.0,108,141,HGB - Hak Guna Bangunan,16500
1550.0,"Balikpapan Selatan, Balikpapan",2.0,2.0,160,144,HGB - Hak Guna Bangunan,1300
4000.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,400,160,SHM - Sertifikat Hak Milik,3500
607.0,"Balikpapan Tengah, Balikpapan",2.0,1.0,72,36,SHM - Sertifikat Hak Milik,1300
1450.0,"Balikpapan Utara, Balikpapan",5.0,3.0,201,300,SHM - Sertifikat Hak Milik,4400
1500.0,"Balikpapan Utara, Balikpapan",3.0,2.0,200,100,SHM - Sertifikat Hak Milik,3500
850.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,120,100,SHM - Sertifikat Hak Milik,1300
6900.0,"Balikpapan Baru, Balikpapan",12.0,9.0,295,500,SHM - Sertifikat Hak Milik,5500
4500.0,"Balikpapan Selatan, Balikpapan",4.0,4.0,342,308,SHM - Sertifikat Hak Milik,5500
1190.0,"Sepinggan, Balikpapan",2.0,1.0,162,70,HGB - Hak Guna Bangunan,2200
1900.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,212,100,SHM - Sertifikat Hak Milik,2200
930.0,"Balikpapan Utara, Balikpapan",3.0,2.0,80,112,SHM - Sertifikat Hak Milik,2200
1300.0,"Balikpapan Selatan, Balikpapan",5.0,3.0,450,250,SHM - Sertifikat Hak Milik,2200
1100.0,"Balikpapan Selatan, Balikpapan",4.0,3.0,170,200,SHM - Sertifikat Hak Milik,2200
1400.0,"Balikpapan Selatan, Balikpapan",4.0,3.0,287,184,SHM - Sertifikat Hak Milik,2200
4500.0,"Damai, Balikpapan",4.0,1.0,356,199,SHM - Sertifikat Hak Milik,5500
1900.0,"Balikpapan Tengah, Balikpapan",5.0,4.0,214,300,SHM - Sertifikat Hak Milik,4400
550.0,"Gn. Sari Ilir, Balikpapan",2.0,1.0,78,40,SHM - Sertifikat Hak Milik,1300
500.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,96,96,SHM - Sertifikat Hak Milik,1300
900.0,"Balikpapan Selatan, Balikpapan",3.0,1.0,200,120,SHM - Sertifikat Hak Milik,2200
750.0,"Balikpapan Utara, Balikpapan",2.0,1.0,120,60,SHM - Sertifikat Hak Milik,2200
1700.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,191,215,SHM - Sertifikat Hak Milik,2200
850.0,"Balikpapan Utara, Balikpapan",3.0,2.0,120,90,SHM - Sertifikat Hak Milik,2200
875.0,"Balikpapan Utara, Balikpapan",3.0,2.0,120,90,SHM - Sertifikat Hak Milik,2200
1900.0,"Balikpapan Baru, Balikpapan",3.0,1.0,195,130,SHM - Sertifikat Hak Milik,2200
670.0,"Balikpapan Selatan, Balikpapan",3.0,1.0,142,120,SHM - Sertifikat Hak Milik,1300
2500.0,"Balikpapan Utara, Balikpapan",6.0,5.0,311,500,SHM - Sertifikat Hak Milik,2200
1100.0,"Balikpapan Tengah, Balikpapan",4.0,3.0,204,204,SHM - Sertifikat Hak Milik,2200
2800.0,"Balikpapan Utara, Balikpapan",4.0,3.0,311,225,SHM - Sertifikat Hak Milik,3500
800.0,"Balikpapan Selatan, Balikpapan",4.0,2.0,84,120,SHM - Sertifikat Hak Milik,2200
750.0,"Manggar, Balikpapan",3.0,2.0,130,130,SHM - Sertifikat Hak Milik,2200
1300.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,180,150,SHM - Sertifikat Hak Milik,1300
1500.0,"Balikpapan Timur, Balikpapan",2.0,2.0,238,70,SHM - Sertifikat Hak Milik,2200
485.0,"Balikpapan Utara, Balikpapan",3.0,2.0,120,110,SHM - Sertifikat Hak Milik,1300
485.0,"Balikpapan Utara, Balikpapan",3.0,2.0,120,110,SHM - Sertifikat Hak Milik,1300
500.0,"Balikpapan Utara, Balikpapan",2.0,1.0,90,45,SHM - Sertifikat Hak Milik,1300
500.0,"Balikpapan Utara, Balikpapan",2.0,1.0,90,45,SHM - Sertifikat Hak Milik,1300
2300.0,"Balikpapan Utara, Balikpapan",3.0,3.0,140,88,SHM - Sertifikat Hak Milik,1300
485.0,"Balikpapan Utara, Balikpapan",3.0,2.0,120,110,SHM - Sertifikat Hak Milik,1300
1950.0,"Batakan, Balikpapan",2.0,2.0,289,100,SHM - Sertifikat Hak Milik,2200
3750.0,"Balikpapan Selatan, Balikpapan",4.0,4.0,260,240,SHM - Sertifikat Hak Milik,2200
1400.0,"Balikpapan Selatan, Balikpapan",4.0,4.0,150,200,SHM - Sertifikat Hak Milik,1300
1850.0,"Balikpapan Selatan, Balikpapan",4.0,4.0,90,180,SHM - Sertifikat Hak Milik,3500
2500.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,216,136,SHM - Sertifikat Hak Milik,2200
950.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,92,45,SHM - Sertifikat Hak Milik,1300
2000.0,"Balikpapan Selatan, Balikpapan",4.0,3.0,216,250,SHM - Sertifikat Hak Milik,3500
850.0,"Balikpapan Selatan, Balikpapan",4.0,3.0,147,109,SHM - Sertifikat Hak Milik,2200
1750.0,"Balikpapan Utara, Balikpapan",5.0,3.0,220,200,SHM - Sertifikat Hak Milik,4400
1050.0,"Balikpapan Utara, Balikpapan",3.0,1.0,235,120,SHM - Sertifikat Hak Milik,2200
900.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,54,72,SHM - Sertifikat Hak Milik,2200
