judul,hyperlink,img_hyperlinks
Apartemen baru jual murah Borneo Bay,https://www.rumah123.com//properti/balikpapan/aps2778212/,https://picture.rumah123.com/r123-images/720x420-crop/customer/29766/2022-12-09-10-08-09-f1831d03-be0f-49ee-bfb2-00ce70fd1831.jpg
Apartemen baru jual muraaah Borneo Bay,https://www.rumah123.com//properti/balikpapan/aps2778202/,https://picture.rumah123.com/r123-images/720x420-crop/customer/29766/2022-12-09-09-58-47-bcfbc75c-ca39-40ca-8996-9ca1b7dacef9.jpg
LUXURY STUDIO APARTMENT BORNEO BAY BALIKPAPAN,https://www.rumah123.com//properti/balikpapan/aps2755001/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap27/2755001/original/aps2755001-apartemen-di-jual-di-klandasan-ilir-balikpapan-1668131501.jpg
APARTEMEN STRATEGIS DI KAWASAN SUDIRMAN,https://www.rumah123.com//properti/balikpapan/aps2749872/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap27/2749872/original/aps2749872-apartemen-di-jual-di-klandasan-ilir-balikpapan-1679986971.jpg
APPARTEMEN BORNEO BAY  BR  1  FULL FURNISH  SIAP HUNI,https://www.rumah123.com//properti/balikpapan/aps2749576/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap27/2749576/original/aps2749576-apartemen-di-jual-di-klandasan-ilir-balikpapan-1667531293.jpg
APPARTEMEN BORNEO BAY  BR 1 FULL FURNISH  SIAP HUNI,https://www.rumah123.com//properti/balikpapan/aps2749574/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap27/2749574/original/aps2749574-apartemen-di-jual-di-klandasan-ilir-balikpapan-1667531258.jpg
APPARTEMEN  ANNEX  BORNEO BAY  BR 2 FULL FURNISH SIAP HUNI,https://www.rumah123.com//properti/balikpapan/aps2749569/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap27/2749569/original/aps2749569-apartemen-di-jual-di-klandasan-ilir-balikpapan-1667531087.jpg
APARTEMEN STRATEGIS DI KAWASAN SUDIRMAN,https://www.rumah123.com//properti/balikpapan/aps2749568/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap27/2749568/original/aps2749568-apartemen-di-jual-di-klandasan-ilir-balikpapan-1679986974.jpg
Apartemen Pentapolis Baru 2 Kamar Tidur Unfurnished,https://www.rumah123.com//properti/balikpapan/aps2677565/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1643432/2022-08-05-23-48-44-230bdc51-05d8-4d40-8f5e-c8fba6b7bc30.jpg
APARTEMEN ELIT,https://www.rumah123.com//properti/balikpapan/aps2607708/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap26/2607708/original/aps2607708-apartemen-di-jual-di-klandasan-ilir-balikpapan-1650004456.jpg
APARTEMEN PENTANCITY RUBY E-WALK,https://www.rumah123.com//properti/balikpapan/aps2607707/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap26/2607707/original/aps2607707-apartemen-di-jual-di-balikpapan-selatan-balikpapan-1650004440.jpg
BORNEO BAY CITY,https://www.rumah123.com//properti/balikpapan/aps2607706/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap26/2607706/original/aps2607706-apartemen-di-jual-di-klandasan-ilir-balikpapan-1650004434.jpg
APARTEMEN BAGUS SEAVIEW DI BSB BALIKPAPAN,https://www.rumah123.com//properti/balikpapan/aps3176793/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3176793/original/aps3176793-apartemen-di-jual-di-balikpapan-selatan-balikpapan-1706163100.jpg
APARTEMEN BAGUS SEAVIEW DI BSB BALIKPAPAN,https://www.rumah123.com//properti/balikpapan/aps3176792/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3176792/original/aps3176792-apartemen-di-jual-di-balikpapan-selatan-balikpapan-1706163098.jpg
Balikpapan borneo bay type studio,https://www.rumah123.com//properti/balikpapan/aps3167605/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3167605/original/aps3167605-apartemen-di-jual-di-klandasan-ilir-balikpapan-1705559936.jpg
