judul,kategori,prices,info,hyperlink,img_hyperlinks
Jual Apartmen Seaview Strategis Pusat Kota Balikpapan,Apartemen,Rp 900 JutaCicilan : 4 Jutaan per bulan,11LB : 44 m²,https://www.rumah123.com//properti/balikpapan/aps3168514/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1697391/2024-01-19-03-07-11-a17d2e5f-48ef-43a2-822a-535db1e1ef37.png
"Dijual Rumah Luas di Jalan Markoni Atas, Balikpapan. Lt 689m2.",Rumah,"Rp 6,5 MiliarCicilan : 29 Jutaan per bulan",422LT : 689 m²LB : 692 m²,https://www.rumah123.com//properti/balikpapan/hos16097705/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1754588/2024-01-19-01-56-34-a7aaadc5-c336-4034-927b-db6746e3efdb.jpg
PERUMAHAN MEWAH BALIKPAPAN REGENCY,Rumah,Rp 800 JutaCicilan : 3 Jutaan per bulan,21LT : 168 m²LB : 84 m²,https://www.rumah123.com//properti/balikpapan/hos16097082/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16097082/original/hos16097082-rumah-di-jual-di-balikpapan-selatan-balikpapan-1705622535.jpg
ŔUMAH MINIMALIS 2 LANTAI SIAP HUNI DI SEPINGGAN BARU,Rumah,Rp 900 JutaCicilan : 4 Jutaan per bulan,42LT : 104 m²LB : 100 m²,https://www.rumah123.com//properti/balikpapan/hos16027286/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16027286/original/hos16027286-rumah-di-jual-di-balikpapan-selatan-balikpapan-1705042301.jpg
BALIKPAPAN PERUM BALIKPAPAN BARU,Rumah,"Rp 1,65 MiliarCicilan : 7 Jutaan per bulan",32LT : 165 m²LB : 64 m²,https://www.rumah123.com//properti/balikpapan/hos16026337/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16026337/original/hos16026337-rumah-di-jual-di-balikpapan-baru-balikpapan-1705038455.jpg
Rumah 3 Lantai Konsep Smart Home Tengah Kota Balikpapan,Rumah,"Rp 1,12 MiliarCicilan : 5 Jutaan per bulan",331LT : 84 m²LB : 90 m²,https://www.rumah123.com//properti/balikpapan/hos16025689/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1355633/2024-01-26-06-00-11-05cfe786-371d-42c2-bd61-f4cc15742bfc.png
Dijual Rumah Kolam Renang Wika,Rumah,"Rp 3,5 MiliarCicilan : 15 Jutaan per bulan",32LT : 409 m²LB : 200 m²,https://www.rumah123.com//properti/balikpapan/hos15958504/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1805813/2024-01-05-07-03-08-ea1c5e38-0844-4d5f-bf0f-25cdebef34d0.jpg
RUMAH SIAP HUNI DI DAERAH SUMBER REJO,Rumah,Rp 550 JutaCicilan : 2 Jutaan per bulan,21LT : 90 m²LB : 75 m²,https://www.rumah123.com//properti/balikpapan/hos15957267/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15957267/original/hos15957267-rumah-di-jual-di-balikpapan-tengah-balikpapan-1704431747.jpg
RUMAH BARU DI BANGUN CANTIK DAN MINIMALIS VILLA DAMAI,Rumah,Rp 600 JutaCicilan : 2 Jutaan per bulan,21LT : 90 m²LB : 63 m²,https://www.rumah123.com//properti/balikpapan/hos15957249/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15957249/original/hos15957249-rumah-di-jual-di-gunung-bahagia-balikpapan-1704431623.jpg
Jual Rumah Mess Saat Ini Disewa Bagus Utk Invest Di Balikpapan,Rumah,"Rp 1,45 MiliarCicilan : 6 Jutaan per bulan",133LT : 150 m²LB : 260 m²,https://www.rumah123.com//properti/balikpapan/hos15956681/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1157169/2024-01-05-04-27-42-35cfe59e-0d08-4865-87f7-232f845e1c4f.jpg
"DIJUAL KOST 30 KAMAR PINGGIR JALAN DEKAT PERTAMINA, KODAM, RS",Rumah,Rp 15 MiliarCicilan : 68 Jutaan per bulan,30302LT : 278 m²LB : 270 m²,https://www.rumah123.com//properti/balikpapan/hos15912027/,https://picture.rumah123.com/r123-images/720x420-crop/customer/457752/2023-12-29-14-50-54-f6c527b8-d750-4838-bca4-176031b39f30.jpg
Rumah Nyaman Balikpapan,Rumah,"Rp 2,95 MiliarCicilan : 13 Jutaan per bulan",533LT : 233 m²LB : 160 m²,https://www.rumah123.com//properti/balikpapan/hos15910515/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1746082/2023-12-29-09-53-58-c621570e-e956-4e0a-b09f-55127372287c.jpg
PERUMAHAN CIPUTRA BALIKPAPAN (BDI),Rumah,"Rp 3,75 MiliarCicilan : 17 Jutaan per bulan",44LT : 260 m²LB : 240 m²,https://www.rumah123.com//properti/balikpapan/hos15902825/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15902825/original/hos15902825-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703837733.jpg
PERUMAHAN MEWAH BALIKPAPAN REGENCY,Rumah,Rp 800 JutaCicilan : 3 Jutaan per bulan,21LT : 168 m²LB : 84 m²,https://www.rumah123.com//properti/balikpapan/hos15901797/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15901797/original/hos15901797-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703833183.jpg
PERUMAHAN REGENCY TENGAH KOTA 3 LANTAI,Rumah,"Rp 1,4 MiliarCicilan : 6 Jutaan per bulan",22LT : 84 m²LB : 252 m²,https://www.rumah123.com//properti/balikpapan/hos15901789/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15901789/original/hos15901789-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703833126.jpg
RUMAH TENGAH KOTA HARGA 700JUTAAN,Rumah,Rp 850 JutaCicilan : 3 Jutaan per bulan,11LT : 120 m²LB : 64 m²,https://www.rumah123.com//properti/balikpapan/hos15901734/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15901734/original/hos15901734-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703832817.jpg
TURUN HARGA BUTUH TER CEPAT,Rumah,"Rp 1,4 MiliarCicilan : 6 Jutaan per bulan",32LT : 152 m²LB : 100 m²,https://www.rumah123.com//properti/balikpapan/hos15901730/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15901730/original/hos15901730-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703832811.jpg
BARANG LANGKA  HARGA TERBAIK,Rumah,"Rp 1,2 MiliarCicilan : 5 Jutaan per bulan",32LT : 120 m²LB : 90 m²,https://www.rumah123.com//properti/balikpapan/hos15901728/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15901728/original/hos15901728-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703832808.jpg
BARANG LANGKA  HARGA TERBAIK,Rumah,"Rp 1,2 MiliarCicilan : 5 Jutaan per bulan",32LT : 120 m²LB : 90 m²,https://www.rumah123.com//properti/balikpapan/hos15901727/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15901727/original/hos15901727-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703832807.jpg
SANGAT DEKAT DENGAN,Rumah,"Rp 1,4 MiliarCicilan : 6 Jutaan per bulan",32LT : 152 m²LB : 80 m²,https://www.rumah123.com//properti/balikpapan/hos9212444/,https://picture.rumah123.com/r123/720x420-crop/house/ho92/9212444/original/hos9212444-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703832805.jpg
ONE GATE SYSTEM DALAM PERUMAHAN,Rumah,"Rp 2,1 MiliarCicilan : 9 Jutaan per bulan",33LT : 252 m²LB : 200 m²,https://www.rumah123.com//properti/balikpapan/hos9164105/,https://picture.rumah123.com/r123/720x420-crop/house/ho91/9164105/original/hos9164105-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703832804.jpg
