,judul,hyperlink,img_hyperlinks,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
23,RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,https://www.rumah123.com//properti/balikpapan/hos15688411/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15688411/original/hos15688411-rumah-di-jual-di-balikpapan-tengah-balikpapan-1701821810.jpg,RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,"Rp 1,9 Miliar","Balikpapan Tengah, Balikpapan",5,4,214 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
24,RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,https://www.rumah123.com//properti/balikpapan/hos15032767/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15032767/original/hos15032767-rumah-di-jual-di-balikpapan-tengah-balikpapan-1696639616.jpg,RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,"Rp 1,9 Miliar","Balikpapan Tengah, Balikpapan",5,4,214 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
25,RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,https://www.rumah123.com//properti/balikpapan/hos15032767/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15032767/original/hos15032767-rumah-di-jual-di-balikpapan-tengah-balikpapan-1696639616.jpg,RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,"Rp 1,9 Miliar","Balikpapan Tengah, Balikpapan",5,4,214 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
26,BALIKPAPAN REGENCY,https://www.rumah123.com//properti/balikpapan/hos15023557/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15023557/original/hos15023557-rumah-di-jual-di-balikpapan-selatan-balikpapan-1696574459.jpg,BALIKPAPAN REGENCY,"Rp 1,5 Miliar","Balikpapan Selatan, Balikpapan",4,3,157 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
27,BALIKPAPAN REGENCY,https://www.rumah123.com//properti/balikpapan/hos15023557/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15023557/original/hos15023557-rumah-di-jual-di-balikpapan-selatan-balikpapan-1696574459.jpg,BALIKPAPAN REGENCY,Rp 995 Juta,"Balikpapan Selatan, Balikpapan",3,1,180 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
28,BALIKPAPAN REGENCY,https://www.rumah123.com//properti/balikpapan/hos9907451/,https://picture.rumah123.com/r123/720x420-crop/house/ho99/9907451/original/hos9907451-rumah-di-jual-di-balikpapan-selatan-balikpapan-1647595284.jpg,BALIKPAPAN REGENCY,"Rp 1,5 Miliar","Balikpapan Selatan, Balikpapan",4,3,157 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
29,BALIKPAPAN REGENCY,https://www.rumah123.com//properti/balikpapan/hos9907451/,https://picture.rumah123.com/r123/720x420-crop/house/ho99/9907451/original/hos9907451-rumah-di-jual-di-balikpapan-selatan-balikpapan-1647595284.jpg,BALIKPAPAN REGENCY,Rp 995 Juta,"Balikpapan Selatan, Balikpapan",3,1,180 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
30,BALIKPAPAN REGENCY,https://www.rumah123.com//properti/balikpapan/hos12243443/,https://picture.rumah123.com/r123/720x420-crop/house/ho12/12243443/original/hos12243443-rumah-di-jual-di-balikpapan-selatan-balikpapan-1672260018.jpg,BALIKPAPAN REGENCY,"Rp 1,5 Miliar","Balikpapan Selatan, Balikpapan",4,3,157 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
31,BALIKPAPAN REGENCY,https://www.rumah123.com//properti/balikpapan/hos12243443/,https://picture.rumah123.com/r123/720x420-crop/house/ho12/12243443/original/hos12243443-rumah-di-jual-di-balikpapan-selatan-balikpapan-1672260018.jpg,BALIKPAPAN REGENCY,Rp 995 Juta,"Balikpapan Selatan, Balikpapan",3,1,180 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
32,BALIKPAPAN REGENCY,https://www.rumah123.com//properti/balikpapan/hos12243441/,https://picture.rumah123.com/r123/720x420-crop/house/ho12/12243441/original/hos12243441-rumah-di-jual-di-balikpapan-selatan-balikpapan-1672259951.jpg,BALIKPAPAN REGENCY,"Rp 1,5 Miliar","Balikpapan Selatan, Balikpapan",4,3,157 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
