Unnamed: 0,Judul,Harga,Lokasi,Hyperlink,Img_Hyperlink,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
1188,RUMAH MINIMALIS SIAP HUNI DI AREA WIKA,Rp 750 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11693427/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11693427/original/hos11693427-rumah-di-jual-di-balikpapan-utara-balikpapan-1667784787.jpg,2.0,1.0,120 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1189,RUMAH HOOK  2 LANTAI  BERSIH TERAWAT SIAP HUNI DI WIKA.,"Rp 3,65 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11693425/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11693425/original/hos11693425-rumah-di-jual-di-balikpapan-utara-balikpapan-1667784747.jpg,4.0,5.0,319 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,1.0,,,,,,,,,,,,Dijual
1190,"RUMAH,RUKO DAN KOST-KOST AN PINGGIR JL.RAYA DI TENGAH KOTA",Rp 5 Miliar,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11463973/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11463973/original/hos11463973-rumah-di-jual-di-balikpapan-utara-balikpapan-1683599317.jpg,14.0,14.0,995 m²,600 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,Ya,Ya,,2.0,,Ya,2 Mobil,PAM atau PDAM,Tidak,,Dijual
1191,RUMAH CANTIK MINIMALIS DI TENGAH KOTA,Rp 850 Juta,"Batu Ampar, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11495792/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11495792/original/hos11495792-rumah-di-jual-di-batu-ampar-balikpapan-1683599315.jpg,3.0,1.0,100 m²,70 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Ya,Ya,,,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,,Dijual
1192,"BALIKPAPAN RUMAH BESAR KOKOH, MINIMALIS",Rp 985 Juta,"Balikpapan Timur, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos10193259/,https://picture.rumah123.com/r123/720x420-crop/house/ho10/10193259/original/hos10193259-rumah-di-jual-di-balikpapan-timur-balikpapan-1683599289.jpg,5.0,4.0,200 m²,176 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,Tidak,Tidak,,1.0,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
1193,"BALIKPAPAN, RUMAH MEWAH,DATARAN TINGGI,BEBAS BANJIR.",Rp 985 Juta,"Batu Ampar, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos10777012/,https://picture.rumah123.com/r123/720x420-crop/house/ho10/10777012/original/hos10777012-rumah-di-jual-di-batu-ampar-balikpapan-1683599762.jpg,3.0,2.0,170 m²,72 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1194,BALIKPAPAN PERUMAHAN DI JANTUNG KOTA,Rp 600 Juta,"Sumber Rejo, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos10387773/,https://picture.rumah123.com/r123/720x420-crop/house/ho10/10387773/original/hos10387773-rumah-di-jual-di-sumber-rejo-balikpapan-1683599786.jpg,2.0,1.0,72 m²,36 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Ya,Ya,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Baru,Dijual
1195,"142 Balikpapan Pupuk Rumah Hook 2,5 Lantai","Rp 4,5 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11607736/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1737807/2023-12-05-13-41-20-42520a0f-dc16-4a4a-89f2-2caa8d874757.jpg,4.0,3.0,300 m²,260 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,2.0,1.0,Tidak,Tidak,,,,Tidak,3 Mobil,PAM atau PDAM,Tidak,,Dijual
1196,155 Balikpapan Pupuk Rumah Cantik Dan Mewah 1 Lantai Siap Huni,"Rp 2,2 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11607479/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1737807/2023-12-10-03-19-32-90cff515-d5e2-477d-966d-fb4c0788f0d5.jpg,4.0,3.0,306 m²,251 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,Pemukiman Warga,Tidak,3 Mobil,PAM atau PDAM,Tidak,,Dijual
1197,RUMAH DENGAN TANAH LUAS DI PINGGIR JALAN RAMAI STRATEGIS BALIKPAPAN,Rp 4 Miliar,"Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11607448/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11607448/original/hos11607448-rumah-di-jual-di-balikpapan-tengah-balikpapan-1667180054.jpg,4.0,3.0,625 m²,160 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
