,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
1391,Rumah recomend banget untuk keluarga kecil ditengah kota,Rp 950 Juta,"Balikpapan Selatan, Balikpapan",3,2,112 m²,80 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Ya,Ya,Unfurnished,2,Pemukiman Warga,Ya,2 Mobil,,Tidak,Bagus,Dijual
1392,Rumah design cantik dan bagus sudah ada furniturnya,"Rp 1,65 Miliar","Balikpapan Selatan, Balikpapan",3,2,152 m²,95 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Ya,Ya,Semi Furnished,1,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
1393,Rumah Cantik dan terawat harganha sangat murah,Rp 1 Miliar,"Balikpapan Selatan, Balikpapan",2,1,102 m²,100 m²,1,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,Ya,Ya,Unfurnished,2,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
1394,RUMAH CANTIK LINGKUNGAN TENANG DAN LUAS,"Rp 2,4 Miliar","Balikpapan Selatan, Balikpapan",3,2,277 m²,180 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,1,Tidak,Tidak,Unfurnished,1,,Tidak,2 Mobil,,Tidak,Bagus,Dijual
1395,Rumah kondisi bagus dikawasan balikpapan baru. ,"Rp 1,55 Miliar","Balikpapan Baru, Balikpapan",3,4,112 m²,144 m²,1,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,Ya,Ya,Unfurnished,2,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
1396,Rumah serba pink diperumahan grandcity. ,"Rp 1,55 Miliar","Balikpapan Utara, Balikpapan",2,2,112 m²,64 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Ya,Ya,Unfurnished,1,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Ya,Bagus,Dijual
1397,BU RUMAH MINIMALIS MODERN DIJUAL CEPAT DI AREA WIKA,"Rp 1,1 Miliar","Batu Ampar, Balikpapan",4,3,160 m²,145 m²,1,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,Ya,Ya,Unfurnished,1,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
1398,DIJUAL RUMAH STRATEGIS PINGGIR JALAN RAYA,"Rp 6,5 Miliar","Balikpapan Tengah, Balikpapan",9,4,516 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,1,Tidak,Tidak,Unfurnished,1,,Tidak,4 Mobil,PAM atau PDAM,Tidak,,Dijual
1399,"Rumah dekat Pasar,Sekolah,&Tempat Ibadah,tempat nya aman.",Rp 680 Juta,"Sepinggan, Balikpapan",,,120 m²,52 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,1,,Tidak,,PAM atau PDAM,Tidak,Bagus,Dijual
1400,Rumah Jual Areal Gn.Sari akses truk dari Jalan Maryati dan Toko Utama,Rp 1 Miliar,"Balikpapan Tengah, Balikpapan",,,305 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,1,,Tidak,,PAM atau PDAM,Tidak,Bagus,Dijual
