,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
1316,Rumah Mewah Di Balikpapan,"Rp 2,8 Miliar","Balikpapan Selatan, Balikpapan",4,2,221 m²,180 m²,2,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1,1,Ya,Ya,Furnished,2,Perkotaan,Ya,4 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
1317,RUMAH BESAR PINGGIR JALAN BESAR,Rp 125 Juta,"Klandasan Ulu, Balikpapan",7,3,435 m²,298 m²,,Rumah,SHM - Sertifikat Hak Milik,10600 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1318,RUMAH MINIMALIS SIAP HUNI DI PERUMAHAN BORNEO PARADISO,"Rp 1,25 Miliar","Balikpapan Selatan, Balikpapan",3,2,120 m²,115 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1319,RUMAH FULL FURNISH DIBALIKPAPAN BARU,"Rp 2,5 Miliar","Damai, Balikpapan",4,3,160 m²,160 m²,,Rumah,HGB - Hak Guna Bangunan,4400 Watt,,,,,,,,,,,,,Dijual
1320,Rumah siap huni di daerah Telaga Sari,Rp 775 Juta,"Telaga Sari, Balikpapan",3,1,270 m²,110 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
1321," Rumah Luas, Nyaman, dan Bagus di Batu Ampar 2 Lantai SHM","Rp 5,1 Miliar","Balikpapan Utara, Balikpapan",5,6,770 m²,350 m²,,Rumah,SHM - Sertifikat Hak Milik,19000 Watt,,1,Ya,Ya,Semi Furnished,2,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
1322, Rumah Bagus Dekat Masjid di Balikpapan Baru,"Rp 3,3 Miliar","Balikpapan Selatan, Balikpapan",3,3,180 m²,120 m²,1,Rumah,HGB - Hak Guna Bangunan,3500 Watt,1,1,Ya,Ya,Unfurnished,2,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
1323,DIBAWAH HARGA STANDAR RUMAH BESAR DIPERUMAHAN ELIT BALIKPAPAN,"Rp 2,95 Miliar","Balikpapan Utara, Balikpapan",6,4,300 m²,289 m²,,Rumah,SHM - Sertifikat Hak Milik,10600 Watt,,,,,,,,,,,,,Dijual
1324,"RUMAH SIAP HUNI DI TAMAN SARI BUKIT MUTIARA, WIKA BALIKPAPAN",Rp 900 Juta,"Balikpapan Utara, Balikpapan",2,2,120 m²,110 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1325,Rumah Minimalis Dekat Kawasan Ikn Fasilitas Lengkap,Rp 250 Juta,"Balikpapan Utara, Balikpapan",2,1,60 m²,38 m²,1,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,1,Ya,Ya,Semi Furnished,1,Pemukiman Warga,Ya,2 Mobil,Sumur Bor,Tidak,Baru,Dijual
1326,Rumah Minimalis Jalan Luas Fasilitas Lengkap Dekat Kawasan Ikn,Rp 375 Juta,"Balikpapan Utara, Balikpapan",2,1,70 m²,50 m²,1,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,Tidak,Ya,Semi Furnished,1,Pemukiman Warga,Ya,3 Mobil,Sumur Bor,Tidak,Baru,Dijual
1327,"Dijual Rumah Besar Bagus di Batakan, Balikpapan","Rp 1,3 Miliar","Batakan, Balikpapan",4,2,135 m²,108 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Ya,Ya,Unfurnished,1,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
