,Judul,Harga,Lokasi,Hyperlink,Img_Hyperlink,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
1067,GRAHA INDAH,Rp 600 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15598218/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15598218/original/hos15598218-rumah-di-jual-di-balikpapan-utara-balikpapan-1701074226.jpg,3,1,108 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
1068,SEPINGGAN PRATAMA,Rp 700 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15598011/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15598011/original/hos15598011-rumah-di-jual-di-balikpapan-selatan-balikpapan-1701074160.jpg,2,2,150 m²,150 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,,,,,,,,,,,Dijual
1069,RUMAH  2 LANTAI SIAP HUNI DI REGENCY,Rp 795 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15597986/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15597986/original/hos15597986-rumah-di-jual-di-balikpapan-selatan-balikpapan-1701074093.jpg,3,2,84 m²,56 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1070,RUMAH MURAH SATU LANTAI DI PERUMAHAN DAUN VILLAGE,Rp 700 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15591093/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15591093/original/hos15591093-rumah-di-jual-di-balikpapan-selatan-balikpapan-1701048332.jpg,2,1,85 m²,45 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1071,RUMAH SIAP HUNI CANTIK MINIMALIS DI BALIKPAPAN REGENCY,"Rp 1,2 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15530444/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15530444/original/hos15530444-rumah-di-jual-di-balikpapan-selatan-balikpapan-1700464247.jpg,3,2,158 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1072,"Dijual Rumah di Bukit Damai Indah Bdi, Balikpapan","Rp 1,5 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15526084/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1805813/2023-11-20-02-37-51-e9ec2864-d4eb-4160-b650-6e4c90ac4f6e.png,3,2,180 m²,60 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Ya,Unfurnished,1,Perkotaan,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
1073,Rumah Mewah 2 lantai  di komplek Ramayana Balikpapan,"Rp 1,8 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15442484/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15442484/original/hos15442484-rumah-di-jual-di-balikpapan-utara-balikpapan-1699851707.jpg,5,4,300 m²,308 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,,,,,,,,,,,Dijual
1074,RUMAH MINIMAlIS HOOK 1 LANTAI SIAP HUNI DENGAN LOKASI NYAMAN DAN AMAN,"Rp 1,3 Miliar","Balikpapan Timur, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15372362/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15372362/original/hos15372362-rumah-di-jual-di-balikpapan-timur-balikpapan-1699259949.jpg,2,2,112 m²,122 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1075,HUNIAN DENGAN SMART HOME SYSTEM DESAIN MINIMALIS LOKASI AMAN NYAMAN DAN MODERN,"Rp 1,75 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15372339/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15372339/original/hos15372339-rumah-di-jual-di-balikpapan-utara-balikpapan-1699259835.jpg,3,3,98 m²,88 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1076,Rumah Perumahan Pondok Anggun Batu Ampar  Balikpapan utara,Rp 1 Miliar,"Batu Ampar, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15371054/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15371054/original/hos15371054-rumah-di-jual-di-batu-ampar-balikpapan-1699256032.jpg,4,2,162 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
