Unnamed: 0,Judul,Harga,Lokasi,Hyperlink,Img_Hyperlink,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
119,RUMAH BARU MINIMALIS DUA KAMAR TIDUR DALAM PERUMAHAN DI TENGAH KOTA BALIKPAPAN,Rp 607 Juta,"Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15340520/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15340520/original/hos15340520-rumah-di-jual-di-balikpapan-tengah-balikpapan-1698973379.jpg,2.0,1.0,72 m²,36 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
120,Rumah Siap Huni 2 Lantai Full Renovasi dan furnished di Perumahan Wika Balikpapan,"Rp 1,45 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15340500/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15340500/original/hos15340500-rumah-di-jual-di-balikpapan-utara-balikpapan-1698973149.jpg,5.0,3.0,201 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,1.0,Tidak,Tidak,,2.0,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
121,Rumah Minimalist Dekat Rumah Sakit Hermina Balikpapan,"Rp 1,5 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15340456/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15340456/original/hos15340456-rumah-di-jual-di-balikpapan-utara-balikpapan-1698972644.jpg,3.0,2.0,200 m²,100 m²,2.0,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
122,Rumah Minimalist Jual Cepat  ditengah kota,Rp 850 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15263243/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15263243/original/hos15263243-rumah-di-jual-di-balikpapan-selatan-balikpapan-1698376086.jpg,3.0,2.0,120 m²,100 m²,2.0,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Bagus,Dijual
123,"Dijual Rumah Kantor di Komplek Balikpapan Baru, Balikpapan Selatan Kalimantan Timur","Rp 6,9 Miliar","Balikpapan Baru, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15263213/,https://picture.rumah123.com/r123-images/720x420-crop/customer/35471/2023-10-27-03-02-01-0af314e4-8cc5-4499-997b-0f69fcfa6c28.png,12.0,9.0,295 m²,500 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,Ya,Ya,Semi Furnished,3.0,,Ya,,PAM atau PDAM,Tidak,Bagus,Dijual
124,RUMAH EMPAT KAMAR TIDUR MEWAH LUAS DALAM PERUMAHAN ELITE BALIKPAPAN,"Rp 4,5 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15261249/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15261249/original/hos15261249-rumah-di-jual-di-balikpapan-selatan-balikpapan-1698366775.jpg,4.0,4.0,342 m²,308 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1.0,,,,,,,,,,,,Dijual
125,Balikpapan di  rumah nyaman di Borneo Paradiso,"Rp 1,19 Miliar","Sepinggan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15261157/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15261157/original/hos15261157-rumah-di-jual-di-sepinggan-balikpapan-1698365743.jpg,2.0,1.0,162 m²,70 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,1.0,,,,,,,,,,,,Dijual
126,RUMAH BARU RENOVASI SIAP HUNI DI PERUMAHAN DAUN VILLAGE,"Rp 1,9 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15190293/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15190293/original/hos15190293-rumah-di-jual-di-balikpapan-selatan-balikpapan-1697793309.jpg,2.0,1.0,212 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1.0,,,,,,,,,,,,Dijual
127,RUMAH STRATEGIS DI PERUMAHAN DAUN VILLAGE,Rp 930 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15185038/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15185038/original/hos15185038-rumah-di-jual-di-balikpapan-utara-balikpapan-1697783720.jpg,3.0,2.0,80 m²,112 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
128,Dijual Rumah di Poka Pondok Katrya Agung Loakasi Tengah Kota Balikpapan,"Rp 1,3 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15179758/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1805813/2023-10-20-01-25-07-4c6fb532-9b88-4d1f-aed8-352313b43dcb.jpg,5.0,3.0,450 m²,250 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Ya,Ya,Unfurnished,1.0,Perkotaan,Ya,2 Mobil,PAM atau PDAM,Ya,Bagus,Dijual
129,RUMAH  SIAP HUNI 2 LANTAI DEPAN JALAN UTAMA PERUMAHAN DENGAN HARGA MIRING,"Rp 1,1 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15111787/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15111787/original/hos15111787-rumah-di-jual-di-balikpapan-selatan-balikpapan-1697178802.jpg,4.0,3.0,170 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
130,"RUMAH HOOK SIAP HUNI DENGAN LOKASI AMAN, NYAMAN DAN BEBAS BANJIR SERTA DEKAT DENGAN BANDARA","Rp 1,4 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15110913/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15110913/original/hos15110913-rumah-di-jual-di-balikpapan-selatan-balikpapan-1697174166.jpg,4.0,3.0,287 m²,184 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
131,BALIKPAPAN KOST KOSTAN TENGAH KOTA,"Rp 1,25 Miliar","Gn. Sari Ilir, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15100218/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15100218/original/hos15100218-rumah-di-jual-di-gn.-sari-ilir-balikpapan-1697164570.jpg,8.0,8.0,217 m²,217 m²,,Rumah,SHM - Sertifikat Hak Milik,900 Watt,,,,,,,,,,,,,Dijual
132,SEGERA PERUM CITRA BUKIT INDAH,"Rp 4,5 Miliar","Damai, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15099025/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15099025/original/hos15099025-rumah-di-jual-di-damai-balikpapan-1697159208.jpg,4.0,1.0,356 m²,199 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,,,,,,,,,,,Dijual
133,RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,"Rp 1,9 Miliar","Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15028298/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15028298/original/hos15028298-rumah-di-jual-di-balikpapan-tengah-balikpapan-1696579698.jpg,5.0,4.0,214 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,,,,,,,,,,,Dijual
134,GUNUNG GUNTUR,Rp 550 Juta,"Gn. Sari Ilir, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15023584/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15023584/original/hos15023584-rumah-di-jual-di-gn.-sari-ilir-balikpapan-1696574577.jpg,2.0,1.0,78 m²,40 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
135,BALIKPAPAN REGENCY,Rp 500 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15023557/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15023557/original/hos15023557-rumah-di-jual-di-balikpapan-selatan-balikpapan-1696574459.jpg,2.0,1.0,96 m²,96 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
136,PERUM GRIYA PERMATA ASRI,Rp 900 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15023529/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15023529/original/hos15023529-rumah-di-jual-di-balikpapan-selatan-balikpapan-1696574342.jpg,3.0,1.0,200 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
137,RUMAH MINIMALIS SIAP HUNI DI AREA WIKA,Rp 750 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15020396/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15020396/original/hos15020396-rumah-di-jual-di-balikpapan-utara-balikpapan-1696559158.jpg,2.0,1.0,120 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
138,turun harga!!! Balikpapan Di  rumah Ciputra Citra Bukit Indah BDI Balikpapan dibawah harga pasaran,Rp 925 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15019674/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15019674/original/hos15019674-rumah-di-jual-di-balikpapan-selatan-balikpapan-1696552325.jpg,2.0,1.0,90 m²,60 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,,,,,,,,,,,Dijual
139,RUMAH BAGUS DI CITRA BUKIT INDAH GREEN VILLE KOTA BALIK PAPAN KALTIM,"Rp 1,7 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14944734/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14944734/original/hos14944734-rumah-di-jual-di-balikpapan-selatan-balikpapan-1695956871.jpg,3.0,2.0,191 m²,215 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
140,RUMAH BAGUS DI CITRA BUKIT INDAH GREEN VILLE KOTA BALIK PAPAN KALTIM,"Rp 1,7 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14944734/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14944734/original/hos14944734-rumah-di-jual-di-balikpapan-selatan-balikpapan-1695956871.jpg,3.0,2.0,191 m²,215 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
141,BALIKPAPAN RUMAH WIKA 3 KAMAR TIDUR (LM330),Rp 850 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14943300/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1507995/2023-12-04-09-08-19-36c80eaf-7063-42d8-8868-8bfcfe95ed6b.jpg,3.0,2.0,120 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
142,330 Balikpapan Taman Sari Bukit Mutiara Rumah Wika 3 Kamar Tidur,Rp 875 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14943299/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1737807/2023-12-05-06-02-08-5a0d6fcd-fd26-4cd6-bd71-9582b026f27d.jpg,3.0,2.0,120 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
143,Hunian Dikawasan Sekolahan Islam Terpadu,"Rp 1,9 Miliar","Balikpapan Baru, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14873357/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14873357/original/hos14873357-rumah-di-jual-di-balikpapan-baru-balikpapan-1695369231.jpg,3.0,1.0,195 m²,130 m²,2.0,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1.0,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Bagus,Dijual
144,Hunian Cantik dan terawat. Dikota balikpapan,Rp 670 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14872466/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14872466/original/hos14872466-rumah-di-jual-di-balikpapan-selatan-balikpapan-1695367001.jpg,3.0,1.0,142 m²,120 m²,2.0,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Bagus,Dijual
145,Rumah Tengah Kota Di Balikpapan Utara,"Rp 2,5 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14872216/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14872216/original/hos14872216-rumah-di-jual-di-balikpapan-utara-balikpapan-1700025104.jpg,6.0,5.0,311 m²,500 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
146,Rumah Siap Huni Full Furniture Di Balikpapan Tengah,"Rp 1,1 Miliar","Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14872178/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14872178/original/hos14872178-rumah-di-jual-di-balikpapan-tengah-balikpapan-1700025105.jpg,4.0,3.0,204 m²,204 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
147,RUMAH BESAR DI PERUMAHAN WIKA,"Rp 2,8 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14864111/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14864111/original/hos14864111-rumah-di-jual-di-balikpapan-utara-balikpapan-1695345468.jpg,4.0,3.0,311 m²,225 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
148,BALIKPAPAN PERUMAHAN REGENCY,Rp 800 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14863499/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14863499/original/hos14863499-rumah-di-jual-di-balikpapan-selatan-balikpapan-1695342000.jpg,4.0,2.0,84 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
149,Rumah dihook  di perumahan wisata manggar,Rp 750 Juta,"Manggar, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14797182/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14797182/original/hos14797182-rumah-di-jual-di-manggar-balikpapan-1694816774.jpg,3.0,2.0,130 m²,130 m²,2.0,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,Semi Furnished,,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
150,BALIKPAPAN PERUMAHAN BUKIT AMSCO,"Rp 1,3 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14797180/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14797180/original/hos14797180-rumah-di-jual-di-balikpapan-selatan-balikpapan-1694816702.jpg,3.0,2.0,180 m²,150 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
151,Perfect gate away wooden villa pantai Lamaru,"Rp 1,5 Miliar","Balikpapan Timur, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14783889/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14783889/original/hos14783889-rumah-di-jual-di-balikpapan-timur-di-balikpapan-16947320970732.jpg,2.0,2.0,238 m²,70 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
152,"BALIKPAPAN RUMAH 1 LANTAI DI PERUMAHAN ADIGUNA KM 5,5 KARIANGAU (LM307)",Rp 485 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14656412/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1507995/2023-12-04-07-43-39-75ebadf8-63b0-4ee3-9df7-4d59eea51c99.jpg,3.0,2.0,120 m²,110 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
153,"307 Balikpapan Perumahan Adiguna Rumah 1 Lantai Km 5,5 Kariangau ",Rp 485 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14656411/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1737807/2023-12-05-06-28-22-75e2668c-b43e-47c0-ad1e-c5d279661127.jpg,3.0,2.0,120 m²,110 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
154,BALIKPAPAN RUMAH CANTIK SIAP HUNI DI KP TIMUR (LM303),Rp 500 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14656387/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1507995/2023-12-04-07-56-59-983212b2-49c3-45e6-9449-0bf8ce5a4ce2.jpg,2.0,1.0,90 m²,45 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
155,303 Balikpapan Kampung Timur Rumah Cantik Siap Huni,Rp 500 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14656386/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1737807/2023-12-05-06-38-19-1d82b501-660d-4deb-ad00-deb0772d701d.jpg,2.0,1.0,90 m²,45 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
156,BALIKPAPAN RUMAH IMPIAN 3 KAMAR SIAP PAKAI DI GRAND CITY BALIKPAPAN (LM301),"Rp 2,3 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14656375/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1507995/2023-12-05-03-25-10-be2cd0cc-5178-41d8-ac27-f2e5f52cbdaf.jpg,3.0,3.0,140 m²,88 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
157,307 Balikpapan Kariangau Rumah 1 Lantai Di Perumahan Adiguna,Rp 485 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14656350/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1737807/2023-12-05-06-43-44-e54cb2f8-7211-436f-8b54-49e27273c0ed.jpg,3.0,2.0,120 m²,110 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
158,rumah dihook di perum Borneo Paradiso.  ,"Rp 1,95 Miliar","Batakan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14649733/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14649733/original/hos14649733-rumah-di-jual-di-batakan-balikpapan-1693534256.jpg,2.0,2.0,289 m²,100 m²,2.0,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
159,PERUMAHAN CIPUTRA BALIKPAPAN (BDI),"Rp 3,75 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14649213/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14649213/original/hos14649213-rumah-di-jual-di-balikpapan-selatan-balikpapan-1693529958.jpg,4.0,4.0,260 m²,240 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1.0,,,,,,,,,,,,Dijual
160,"RUMAH SIAP HUNI, BEBAS BANJIR, DALAM KLUSTER ELITE","Rp 1,4 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14649175/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14649175/original/hos14649175-rumah-di-jual-di-balikpapan-selatan-balikpapan-1693529518.jpg,4.0,4.0,150 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
161,rumah konsep arsitek diperum Balikpapan regency,"Rp 1,85 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14649019/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14649019/original/hos14649019-rumah-di-jual-di-balikpapan-selatan-balikpapan-1693526717.jpg,4.0,4.0,90 m²,180 m²,2.0,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Bagus,Dijual
162,Dijual Rumah Original Hook Pupuk Balikpapan,"Rp 2,5 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14586571/,https://picture.rumah123.com/r123-images/720x420-crop/customer/553144/2023-08-25-08-44-05-e7aea489-ca36-4b38-b914-ccbff48a6142.jpg,2.0,1.0,216 m²,136 m²,1.0,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1.0,1.0,Tidak,Tidak,,1.0,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Ya,Butuh Renovasi,Dijual
163,RUMAH MINIMALIS,Rp 950 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14585591/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14585591/original/hos14585591-rumah-di-jual-di-balikpapan-selatan-balikpapan-1692949721.jpg,2.0,1.0,92 m²,45 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
164,rumah sultan posisi dihook dikawasan Uniba,Rp 2 Miliar,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14581985/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14581985/original/hos14581985-rumah-di-jual-di-balikpapan-selatan-balikpapan-1692931715.jpg,4.0,3.0,216 m²,250 m²,4.0,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,1.0,,Tidak,Tidak,Furnished,,Pemukiman Warga,Tidak,3 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
165,Hunian Cantik dekat Masjid Islamic Center,Rp 850 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14581772/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14581772/original/hos14581772-rumah-di-jual-di-balikpapan-selatan-balikpapan-1692931131.jpg,4.0,3.0,147 m²,109 m²,2.0,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Bagus,Dijual
166,Hunian Unik di daerah Wika dan ditengah kota,"Rp 1,75 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14581638/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14581638/original/hos14581638-rumah-di-jual-di-balikpapan-utara-balikpapan-1692930983.jpg,5.0,3.0,220 m²,200 m²,2.0,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,Tidak,Tidak,Furnished,,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
169,RUMAH 3 KAMAR BALIKPAPAN,"Rp 1,05 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14515121/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14515121/original/hos14515121-rumah-di-jual-di-balikpapan-utara-balikpapan-1692338328.jpg,3.0,1.0,235 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
170,RUMAH TOWNHOUSE VILLA BALIKPAPAN,Rp 900 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14515103/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14515103/original/hos14515103-rumah-di-jual-di-balikpapan-selatan-balikpapan-1692338249.jpg,3.0,2.0,54 m²,72 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
171,RUMAH TOWNHOUSE VILLA BALIKPAPAN,Rp 900 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14515105/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14515105/original/hos14515105-rumah-di-jual-di-balikpapan-selatan-balikpapan-1692338250.jpg,3.0,2.0,54 m²,72 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
172,BALIKPAPAN RUMAH PUPUK TENGAH KOTA (LH52),"Rp 1,9 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14514417/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14514417/original/hos14514417-rumah-di-jual-di-balikpapan-selatan-balikpapan-1692333938.jpg,4.0,3.0,250 m²,216 m²,1.0,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,1.0,1.0,Tidak,Tidak,Unfurnished,1.0,,Tidak,2 Mobil,,Tidak,Bagus,Dijual
173,RUMAH DI KARANG REJO STRAT 1,Rp 650 Juta,"Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14512316/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14512316/original/hos14512316-rumah-di-jual-di-balikpapan-tengah-balikpapan-1692323530.jpg,3.0,2.0,200 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
174,BALIKPAPAN PERUMAHAN BDS 2,Rp 675 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14512244/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14512244/original/hos14512244-rumah-di-jual-di-balikpapan-selatan-balikpapan-1692346995.jpg,2.0,1.0,100 m²,85 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
175,RUMAH CONTOH PERUMAHAN PRIMARY CITRA City TIPE ALODIA,"Rp 1,72 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14512237/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14512237/original/hos14512237-rumah-di-jual-di-balikpapan-selatan-balikpapan-1692323038.jpg,3.0,2.0,72 m²,74 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,,,,,,,,,,,Dijual
