,judul,hyperlink,img_hyperlinks,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
20,RUMAH BESAR PINGGIR JALAN BESAR,https://www.rumah123.com//properti/balikpapan/hos10082513/,https://picture.rumah123.com/r123/720x420-crop/house/ho10/10082513/original/hos10082513-rumah-di-jual-di-klandasan-ulu-balikpapan-1650004449.jpg,RUMAH BESAR PINGGIR JALAN BESAR,Rp 125 Juta,"Klandasan Ulu, Balikpapan",7,3,435 m²,298 m²,,Rumah,SHM - Sertifikat Hak Milik,10600 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
21,RUMAH BESAR PINGGIR JALAN BESAR,https://www.rumah123.com//properti/balikpapan/hos16037721/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16037721/original/hos16037721-rumah-di-jual-di-klandasan-ulu-balikpapan-1705136301.jpg,RUMAH BESAR PINGGIR JALAN BESAR,Rp 125 Juta,"Klandasan Ulu, Balikpapan",7,3,435 m²,298 m²,,Rumah,SHM - Sertifikat Hak Milik,10600 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
22,RUMAH BESAR TENGAH KOTA,https://www.rumah123.com//properti/balikpapan/hos10082505/,https://picture.rumah123.com/r123/720x420-crop/house/ho10/10082505/original/hos10082505-rumah-di-jual-di-klandasan-ilir-balikpapan-1650004436.jpg,RUMAH BESAR TENGAH KOTA,Rp 980 Juta,"Klandasan Ulu, Balikpapan",7,4,150 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
23,RUMAH BESAR TENGAH KOTA,https://www.rumah123.com//properti/balikpapan/hos10193273/,https://picture.rumah123.com/r123/720x420-crop/house/ho10/10193273/original/hos10193273-rumah-di-jual-di-klandasan-ulu-balikpapan-1652018304.jpg,RUMAH BESAR TENGAH KOTA,Rp 980 Juta,"Klandasan Ulu, Balikpapan",7,4,150 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
24,RUMAH BARU DI BANGUN TANPA INDEN DI KARTINI RESIDENCE,https://www.rumah123.com//properti/balikpapan/hos15173568/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15173568/original/hos15173568-rumah-di-jual-di-gunung-bahagia-balikpapan-1697698264.jpg,RUMAH BARU DI BANGUN TANPA INDEN DI KARTINI RESIDENCE,Rp 800 Juta,"Gunung Bahagia, Balikpapan",2,1,120 m²,63 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",1300 Watt,,,,,,,,,,,,,Dijual
25,RUMAH BARU DI BANGUN TANPA INDEN DI KARTINI RESIDENCE,https://www.rumah123.com//properti/balikpapan/hos15173568/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15173568/original/hos15173568-rumah-di-jual-di-gunung-bahagia-balikpapan-1697698264.jpg,RUMAH BARU DI BANGUN TANPA INDEN DI KARTINI RESIDENCE,Rp 800 Juta,"Gunung Bahagia, Balikpapan",2,1,120 m²,63 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",1300 Watt,,,,,,,,,,,,,Dijual
26,RUMAH BARU DI BANGUN TANPA INDEN DI KARTINI RESIDENCE,https://www.rumah123.com//properti/balikpapan/hos15428321/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15428321/original/hos15428321-rumah-di-jual-di-gunung-bahagia-balikpapan-1699684325.jpg,RUMAH BARU DI BANGUN TANPA INDEN DI KARTINI RESIDENCE,Rp 800 Juta,"Gunung Bahagia, Balikpapan",2,1,120 m²,63 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",1300 Watt,,,,,,,,,,,,,Dijual
27,RUMAH BARU DI BANGUN TANPA INDEN DI KARTINI RESIDENCE,https://www.rumah123.com//properti/balikpapan/hos15428321/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15428321/original/hos15428321-rumah-di-jual-di-gunung-bahagia-balikpapan-1699684325.jpg,RUMAH BARU DI BANGUN TANPA INDEN DI KARTINI RESIDENCE,Rp 800 Juta,"Gunung Bahagia, Balikpapan",2,1,120 m²,63 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",1300 Watt,,,,,,,,,,,,,Dijual
28,RUMAH BARU DI BANGUN TANPA INDEN DI KARTINI RESIDENCE,https://www.rumah123.com//properti/balikpapan/hos15428320/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15428320/original/hos15428320-rumah-di-jual-di-gunung-bahagia-balikpapan-1699684325.jpg,RUMAH BARU DI BANGUN TANPA INDEN DI KARTINI RESIDENCE,Rp 800 Juta,"Gunung Bahagia, Balikpapan",2,1,120 m²,63 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",1300 Watt,,,,,,,,,,,,,Dijual
29,RUMAH BARU DI BANGUN TANPA INDEN DI KARTINI RESIDENCE,https://www.rumah123.com//properti/balikpapan/hos15428320/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15428320/original/hos15428320-rumah-di-jual-di-gunung-bahagia-balikpapan-1699684325.jpg,RUMAH BARU DI BANGUN TANPA INDEN DI KARTINI RESIDENCE,Rp 800 Juta,"Gunung Bahagia, Balikpapan",2,1,120 m²,63 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",1300 Watt,,,,,,,,,,,,,Dijual
