Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
"131 Balikpapan Baru Rumah 2,5 Lantai Harga Dibawah Pasaran","Rp 2,2 Miliar","Balikpapan Selatan, Balikpapan",2,1,78 m²,45 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",1300 Watt,,,,,,,,,,,,,Dijual
Rumah Modern 2 Lantai di Borneo Paradiso,"Rp 5,5 Miliar","Balikpapan Selatan, Balikpapan",4,3,204 m²,204 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
RUMAH ASRI DALAM CLUSTER,"Rp 1,7 Miliar","Damai, Balikpapan",3,3,98 m²,71 m²,2,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Ya,Ya,Semi Furnished,2,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
RUMAH SIAP HUNI,"Rp 1,5 Miliar","Balikpapan Utara, Balikpapan",5,3,144 m²,207 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,,,,,,,,,,,Dijual
358 Balikpapan Citra Bukit Indah 4 Kt Furnished,"Rp 3,25 Miliar","Balikpapan Selatan, Balikpapan",4,4,160 m²,320 m²,1,Rumah,HGB - Hak Guna Bangunan,2200 Watt,1,,Ya,Ya,Unfurnished,3,,Ya,3 Mobil,Sumur Bor,Tidak,,Dijual
"Rumah Mewah Siap Huni di Pupuk, Balikpapan",Rp 25 Miliar,"Balikpapan Kota, Balikpapan",5,3,234 m²,468 m²,,Rumah,SHM - Sertifikat Hak Milik,6600 Watt,1,1,Ya,Ya,Unfurnished,2,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Ya,Sudah Renovasi,Dijual
"Dijual Rumah Di Jl. Tumaritis Gang Arwana , Balikpapan",Rp 450 Juta,"Balikpapan Utara, Balikpapan",3,1,195 m²,130 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,,,,,,,,,,,Dijual
RUMAH MINIMALIS TERAWAT DI AREA WIKA BALIKPAPAN,Rp 760 Juta,"Balikpapan Utara, Balikpapan",2,2,108 m²,60 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",1300 Watt,,,,,,,,,,,,,Dijual
Hunian Modern Dihook Di Balikpapan Baru.,"Rp 5,5 Miliar","Balikpapan Baru, Balikpapan",4,4,160 m²,298 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1,,Tidak,Tidak,Furnished,1,,Tidak,,PAM atau PDAM,Tidak,Bagus,Dijual
"rumah megah dan cantik di balikpapan baru
",Rp 5 Miliar,"Balikpapan Baru, Balikpapan",15,15,1060 m²,1600 m²,4,Rumah,SHM - Sertifikat Hak Milik,16500 Watt,,1,Tidak,Tidak,Furnished,2,Perkotaan,Ya,2 Mobil,Sumur Bor,Tidak,Bagus,Dijual
"Dijual Rumah di Perumahan Balikpapan Regency Cluster Tapak Siring, Balikpapan",Rp 2 Miliar,"Balikpapan Selatan, Balikpapan",2,2,87 m²,66 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,1,Ya,Ya,Unfurnished,1,,Ya,,PAM atau PDAM,Tidak,Bagus,Dijual
"Rumah Ayda Balikpapan Selatan, Kalimantan Timur","Rp 1,99 Miliar","Balikpapan Selatan, Balikpapan",3,1,120 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
"Rumah Ayda Balikpapan Selatan, Kalimantan Timur",Rp 522 Juta,"Balikpapan Selatan, Balikpapan",5,5,248 m²,311 m²,2,Rumah,HGB - Hak Guna Bangunan,3500 Watt,,,Ya,Ya,Semi Furnished,2,Pemukiman Warga,Ya,4 Mobil,,Ya,Bagus,Dijual
"Rumah Ayda Balikpapan Utara, Kalimantan Timur",Rp 949 Juta,"Balikpapan Utara, Balikpapan",,,300 m²,400 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,1,,Tidak,,PAM atau PDAM,Tidak,Bagus,Dijual
"Rumah Ayda Balikpapan Tengah, Kalimantan Timur","Rp 1,01 Miliar","Balikpapan Tengah, Balikpapan",2,1,150 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,1,Ya,Ya,Furnished,1,,Tidak,,,Tidak,,Dijual
"Rumah Ayda Balikpapan Tengah, Kalimantan Timur",Rp 770 Juta,"Balikpapan Tengah, Balikpapan",2,2,399 m²,288 m²,,Rumah,HGB - Hak Guna Bangunan,4400 Watt,,1,Ya,Ya,,1,,Ya,,,Tidak,Bagus,Dijual
"Rumah Ayda Balikpapan Utara, Kalimantan Timur",Rp 952 Juta,"Balikpapan Utara, Balikpapan",2,1,164 m²,173 m²,,Rumah,HGB - Hak Guna Bangunan,4400 Watt,,1,Ya,Ya,,1,,Ya,,,Tidak,Bagus,Dijual
RUMAH CANTIK SATU LANTAI DI PERUMAHAN BDI,"Rp 1,7 Miliar","Balikpapan Selatan, Balikpapan",3,1,380 m²,172 m²,,Rumah,HGB - Hak Guna Bangunan,4400 Watt,,1,Ya,Ya,,1,,Ya,,,Tidak,Bagus,Dijual
"Rumah Cantik, Siap Huni, Cluster Aman (WIKA)",Rp 825 Juta,"Balikpapan Utara, Balikpapan",6,2,306 m²,196 m²,,Rumah,HGB - Hak Guna Bangunan,4400 Watt,,1,Ya,Ya,,1,,Ya,,,Tidak,Bagus,Dijual
RUMAH TENGAH KOTA SIAP HUNI DEKAT BANDARA,Rp 850 Juta,"Balikpapan Selatan, Balikpapan",3,1,174 m²,210 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,1,Ya,Ya,,1,,Ya,,,Tidak,Bagus,Dijual
RUMAH SIAP HUNI TENGAH KOTA AKSES MUDAH DEKAT BANDARA,Rp 850 Juta,"Balikpapan Selatan, Balikpapan",3,1,198 m²,125 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,1,Ya,Ya,,1,,Ya,,,Tidak,Bagus,Dijual
RUMAH MURAH TENGAH KOTA - BALIKPAPAN SELATAN,Rp 750 Juta,"Balikpapan Selatan, Balikpapan",3,2,155 m²,82 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
RUMAH 2 LANTAI SIAP HUNI DI KOTA HIJAU,"Rp 1,5 Miliar","Balikpapan Timur, Balikpapan",3,2,120 m²,80 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
RUMAH MINIMALIS SIAP HUNI BEBAS BANJIR  DI SUNGAI AMPAL,"Rp 1,05 Miliar","Balikpapan Tengah, Balikpapan",2,1,160 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
HUNIAN DENGAN KONSEP PERUMAHAN  DESAIN MINIMALIS LOKASI TENGAH KOTA BISA KPR,Rp 680 Juta,"Balikpapan Tengah, Balikpapan",2,1,160 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
HUNIAN DENGAN KONSEP PERUMAHAN  DESAIN MINIMALIS LOKASI TENGAH KOTA,Rp 935 Juta,"Balikpapan Tengah, Balikpapan",4,3,120 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
Hunian bernuansa biru dekat Rekreasi pantai batakan,Rp 810 Juta,"Balikpapan Selatan, Balikpapan",4,2,120 m²,42 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,1,,,,,,,,,,,,Dijual
SMART HOME SYSTEM GRAND CITY BALIKPAPAN DP HANYA 10 JT,Rp 869 Juta,"Balikpapan Utara, Balikpapan",4,2,240 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
RUMAH HOOK LUAS TIGA KAMAR TIDUR DALAM PERUMAHAN ELITE BALIKPAPAN,"Rp 2,5 Miliar","Balikpapan Selatan, Balikpapan",2,1,78 m²,42 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
Rumah Strategis Tanah Luas Bisa Costum Desain,"Rp 1,16 Miliar","Balikpapan Selatan, Balikpapan",2,1,120 m²,50 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
HUNIAN DENGAN SMART HOME SYSTEM DESAIN MINIMALIS LOKASI AMAN NYAMAN DAN MODERN,"Rp 1,75 Miliar","Balikpapan Utara, Balikpapan",3,2,132 m²,132 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Ya,Ya,Unfurnished,,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
Rumah Cantik dan bersih Di Balikpapan Regency,"Rp 1,95 Miliar","Balikpapan Selatan, Balikpapan",2,2,60 m²,47 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",2200 Watt,,,,,,,,,,,,,Dijual
BALIKPAPAN RUMAH SIAP HUNI FULL FURNISHED DI REGENCY  (LM350),"Rp 1,5 Miliar","Balikpapan Selatan, Balikpapan",3,2,305 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
350 Balikpapan Regency Rumah Furnished Ada Halaman Belakang,"Rp 1,5 Miliar","Balikpapan Selatan, Balikpapan",3,2,168 m²,100 m²,1,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,1,Ya,Ya,Unfurnished,1,Pemukiman Warga,Ya,,Sumur Bor,Tidak,,Dijual
PRIMARY GRANDCITY NORDVILLE,"Rp 1,73 Miliar","Balikpapan Utara, Balikpapan",3,3,98 m²,88 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
"RUMAH CONTOH DAUN VILLAGE TYPE NEW LYCHEE 2 LANTAI, MT HARYONO BALIKPAPAN","Rp 1,6 Miliar","Balikpapan Selatan, Balikpapan",3,3,150 m²,115 m²,2,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,Tidak,Tidak,Unfurnished,2,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Bagus,Dijual
PERUMAHAN BARU DENGAN HARGA TERJANGKAU,Rp 400 Juta,"Balikpapan Timur, Balikpapan",3,2,144 m²,160 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
PERUMAHAN BARU DENGAN HARGA SANGAT TERJANGKAU,Rp 350 Juta,"Balikpapan Timur, Balikpapan",3,2,144 m²,160 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
"RUMAH MURAH DI BATU AMPAR, KM 4,5",Rp 440 Juta,"Balikpapan Utara, Balikpapan",3,3,98 m²,88 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",1300 Watt,,,,,,,,,,,,,Dijual
Rumah modern dekat Sekolah Islam dan Masjid,Rp 5 Miliar,"Balikpapan Baru, Balikpapan",3,2,171 m²,93 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,1,1,Tidak,Tidak,,2,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Baru,Dijual
BELAKANG TRANSMART,Rp 750 Juta,"Gunung Bahagia, Balikpapan",2,1,108 m²,100 m²,,Rumah,HGB - Hak Guna Bangunan,900 Watt,,,,,,,,,,,,,Dijual
Rumah cantik dan bersih di balikpapan regency,"Rp 1,6 Miliar","Balikpapan Selatan, Balikpapan",2,1,96 m²,90 m²,,Rumah,HGB - Hak Guna Bangunan,900 Watt,,,,,,,,,,,,,Dijual
HARGA TURUN PERUMAHAN BALIKPAPAN REGENCY KINTAMANI,Rp 750 Juta,"Balikpapan Selatan, Balikpapan",2,1,96 m²,45 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
RUMAH BARU READY STOCK & SIAP HUNI LOKASI ADA 2 TEMPAT PERUM PESONA ALAM & PERUM MANDASTANA,Rp 415 Juta,"Balikpapan Utara, Balikpapan",4,2,200 m²,600 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
RUMAH HOOK MEWAH MINIMALIS 2 LANTAI FULL FURNISH SIAP HUNI DENGAN LOKASI AMAN NYAMAN DAN BEBAS BANJIR,"Rp 2,1 Miliar","Balikpapan Selatan, Balikpapan",2,1,84 m²,45 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
RUMAH HOOK,"Rp 1,8 Miliar","Balikpapan Selatan, Balikpapan",3,2,96 m²,96 m²,2,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
RUMAH NEW HAYFIELD TANPA DP ANGSURAN 4 JT-AN SETIAP BULAN,Rp 970 Juta,"Balikpapan Utara, Balikpapan",2,1,135 m²,45 m²,,Rumah,SHM - Sertifikat Hak Milik,900 Watt,,,,,,,,,,,,,Dijual
Rumah 2 lantai posisi hook,Rp 900 Juta,"Balikpapan Tengah, Balikpapan",2,1,96 m²,45 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
BALIKPAPAN PERUM BALIKPAPAN BARU,"Rp 1,6 Miliar","Balikpapan Tengah, Balikpapan",2,2,168 m²,145 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
Rumah plus faviliun ditengah kota balikpapan,"Rp 4,2 Miliar","Balikpapan Selatan, Balikpapan",4,3,195 m²,130 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
"RUMAH LANTAI 3 SIAP HUNI, FULL FURNISH LENGKAP DENGAN TEMPAT USAHA","Rp 3,8 Miliar","Balikpapan Selatan, Balikpapan",2,2,60 m²,47 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",1300 Watt,,1,Tidak,Tidak,Unfurnished,2,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Baru,Dijual
RUMAH SIAP HUNI DITENGAH KOTA LOKASI STRATEGIS,Rp 700 Juta,"Balikpapan Selatan, Balikpapan",4,4,256 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
Hunian minimalist ditengah kota balikpapan,Rp 950 Juta,"Balikpapan Utara, Balikpapan",3,2,165 m²,64 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
Hunian mewah full furnish,"Rp 1,95 Miliar","Balikpapan Selatan, Balikpapan",3,1,817 m²,140 m²,6,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
BALIKPAPAN PERUMAHAN REGENCY,"Rp 1,2 Miliar","Balikpapan Selatan, Balikpapan",5,3,135 m²,234 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
Hunian mewah dan unik dekat Bandara Sepinggan,"Rp 2,5 Miliar","Sepinggan, Balikpapan",2,1,135 m²,78 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
Hunian murah ditengah kota Balikpapan.  ,Rp 370 Juta,"Gn. Sari Ilir, Balikpapan",4,2,140 m²,280 m²,2,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,Unfurnished,2,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Bagus,Dijual
hunian tingkat 2 dekat Bandara International Sepinggan,"Rp 1,2 Miliar","Batakan, Balikpapan",3,2,155 m²,165 m²,2,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,Furnished,2,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
Dijual Cepat Rumah Lux Full Furnished Cantik di Poka Balikpapan,"Rp 3,25 Miliar","Balikpapan Selatan, Balikpapan",2,1,150 m²,45 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,,,,,,,,,,,Dijual
Dijual Cepat Unfurnished Rumah 2 Lantai Luas di Balikpapan Baru,"Rp 2,5 Miliar","Balikpapan Baru, Balikpapan",5,3,200 m²,200 m²,1,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Bagus,Dijual
"RUMAH 3 LANTAI DI TELAGA SARI, BALIKPAPAN",Rp 950 Juta,"Telaga Sari, Balikpapan",2,2,137 m²,90 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,Unfurnished,2,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Bagus,Dijual
RUMAH DUA LANTAI TIGA KAMAR TIDUR DALAM PERUMAHAN TENGAH KOTA BALIKPAPAN,Rp 900 Juta,"Balikpapan Selatan, Balikpapan",4,2,260 m²,150 m²,5,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,3 Mobil,,Tidak,Bagus,Dijual
Dijual Cepat Rumah Besar Semi Furnished Sepinggan Pratama Dekat Kolam Renang,"Rp 2,25 Miliar","Balikpapan Selatan, Balikpapan",7,3,234 m²,293 m²,1,Rumah,SHM - Sertifikat Hak Milik,,,2,Ya,Ya,Furnished,2,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Sudah Renovasi,Dijual
hunian bagus serba biru di kawasan rekreasi lamaru,Rp 850 Juta,"Lamaru, Balikpapan",3,3,160 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,,,1,Ya,Ya,,2,,Tidak,,,Tidak,Bagus,Dijual
hunian  mewahtingkat 2 dekat lapangan golf,"Rp 1,55 Miliar","Balikpapan Selatan, Balikpapan",6,4,150 m²,174 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
hunian mewah dan sudah ada furnished dekat les artha regency,"Rp 1,5 Miliar","Balikpapan Selatan, Balikpapan",3,2,120 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
Dijual Cepat Rumah Luas Tanah 306m2 di Pupuk Tengah Kota Balikpapan,"Rp 2,3 Miliar","Balikpapan Selatan, Balikpapan",4,4,204 m²,250 m²,2,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,2,Ya,Ya,Semi Furnished,2,Taman Kota,Ya,2 Mobil,PAM atau PDAM,Ya,Sudah Renovasi,Dijual
Dijual Rumah Luas Tanah 530 M2 Di Pupuk Lokasi Tengah Kota,Rp 4 Miliar,"Balikpapan Selatan, Balikpapan",2,1,170 m²,170 m²,1,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
DI  RUMAH DI KOMPLEK BALIKPAPAN REGENCY + FURNITUR,Rp 975 Juta,"Balikpapan Selatan, Balikpapan",3,3,94 m²,50 m²,2,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
Rumah Mewah Balikpapan,"Rp 2,8 Miliar","Balikpapan Selatan, Balikpapan",4,2,120 m²,145 m²,2,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,3 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
PERUMAHAN TUMARITIS DEKAT PERUMAHAN GRAND CITY,Rp 680 Juta,"Balikpapan Utara, Balikpapan",4,2,306 m²,251 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Ya,Ya,Unfurnished,1,Perkotaan,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
Rumah Siap Pakai Balikpapan,"Rp 2,5 Miliar","Balikpapan Utara, Balikpapan",3,3,530 m²,300 m²,3,Rumah,HGB - Hak Guna Bangunan,,,1,Ya,Ya,Unfurnished,1,Perkotaan,Ya,2 Mobil,PAM atau PDAM,Tidak,Butuh Renovasi,Dijual
BALIKPAPAN RUMAH PERUMAHAN JAMRUD (HM101),"Rp 1,3 Miliar","Damai, Balikpapan",3,1,120 m²,70 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
BALIKPAPAN RUMAH PERUMAHAN GRAND CITY HYLAND (HM190),Rp 900 Juta,"Batu Ampar, Balikpapan",3,3,160 m²,281 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
BALIKPAPAN PERUMAHAN GRAND CITY FOREST VIILL (HM178),"Rp 3,6 Miliar","Balikpapan Utara, Balikpapan",2,1,163 m²,70 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,,,,,,,,,,,Dijual
Di Jual Rumah di gn.Belah.Balikpapan,Rp 600 Juta,"Balikpapan Tengah, Balikpapan",2,1,381 m²,350 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
Rumah Tinggal dan Rumah Kost jalan Mt.Haryono,Rp 3 Miliar,"Balikpapan Kota, Balikpapan",2,2,120 m²,120 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,1,,Tidak,Tidak,Unfurnished,,Perkotaan,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
DIJUAL RUMAH PUPUK BARAT BALIKPAPAN KOTA,"Rp 1,2 Miliar","Balikpapan Selatan, Balikpapan",2,2,72 m²,46 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
BALIKPAPAN RUMAH TENGAH KOTA HALAMAN LUAS (HM152),"Rp 2,5 Miliar","Gn. Samarinda, Balikpapan",3,3,220 m²,191 m²,,Rumah,HGB - Hak Guna Bangunan,4400 Watt,1,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
BALIKPAPAN RUMAH DI PERUMAHAN SEPINGGAN PRATAMA CLUSTER PERMATA GADING ( HM141),"Rp 1,25 Miliar","Batu Ampar, Balikpapan",,,106 m²,42 m²,,Rumah,SHM - Sertifikat Hak Milik,900 Watt,,,Tidak,Tidak,,1,,Tidak,,PAM atau PDAM,Tidak,Bagus,Dijual
BALIKPAPAN RUMAH DIPINGGIR JALAN UTAMA DENGAN TANAH LUAS (HM150),Rp 6 Miliar,"Balikpapan Kota, Balikpapan",,,378 m²,500 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,1,,Tidak,,PAM atau PDAM,Tidak,Sudah Renovasi,Dijual
RUMAH DI  PINGGIR JALAN RAYA UTAMA STRATEGIS COCOK UNTUK USAHA,"Rp 4,2 Miliar","Balikpapan Tengah, Balikpapan",4,2,96 m²,105 m²,1,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,1,Tidak,Tidak,Unfurnished,2,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
DIJUAL RUMAH TANAHNYA LUAS 954 m² DI JALAN INDRAKILA BALIKPAPAN,Rp 3 Miliar,"Balikpapan Utara, Balikpapan",4,2,400 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
DISKON HARGA CITRA BUKIT INDAH ROSE AVENUE BY CIPUTRA,"Rp 3,8 Miliar","Gunung Bahagia, Balikpapan",4,2,90 m²,148 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,Ya,Ya,Unfurnished,,Perkotaan,Tidak,3 Mobil,,Tidak,Bagus,Dijual
RUMAH DITENGAH KOTA,Rp 490 Juta,"Karang Rejo, Balikpapan",2,3,561 m²,400 m²,1,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,1,Tidak,Tidak,Unfurnished,1,Perkotaan,Tidak,4 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
RUMAH PERMANEN  DI BALIKPAPAN BARAT,Rp 650 Juta,"Kariangau, Balikpapan",4,3,373 m²,252 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,4 Mobil,,Tidak,Bagus,Dijual
RUMAH MEWAH FULL FURNISHED DI PUSAT KOTA,"Rp 1,5 Miliar","Balikpapan Selatan, Balikpapan",4,2,954 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Tidak,Tidak,Unfurnished,1,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
RUMAH KONTRAKAN 4 PINTU DI BATAKAN MAS,"Rp 1,2 Miliar","Manggar, Balikpapan",4,4,356 m²,199 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,,,,,,,,,,,Dijual
"RUMAH CANTIK MINIMALIS,DIPUSAT KOTA",Rp 900 Juta,"Balikpapan Selatan, Balikpapan",3,2,201 m²,201 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
RUMAH DIPUSAT KOTA BALIKPAPAN,"Rp 1,8 Miliar","Balikpapan Selatan, Balikpapan",2,1,156 m²,110 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
RUMAH DAN TANAH PINGGIR JALAN RAYA MT.HARYONO DALAM,Rp 6 Miliar,"Balikpapan Selatan, Balikpapan",4,3,165 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
RUMAH CANTIK SIAP HUNI DALAM KLUSTER,"Rp 1,2 Miliar","Balikpapan Selatan, Balikpapan",8,4,135 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,900 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
PERUMAHAN MEWAH DAN NYAMAN DAUN VILLAGE TYPE PEAR 2LT,"Rp 2,12 Miliar","Balikpapan Utara, Balikpapan",3,1,147 m²,150 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,1,Ya,Ya,Semi Furnished,2,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
CLUSTER HAYFIELD GRAND CITY BALIKPAPAN,"Rp 1,28 Miliar","Balikpapan Utara, Balikpapan",3,2,248 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,1,Ya,Tidak,,2,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Ya,Sudah Renovasi,Dijual
