,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
134,GUNUNG GUNTUR,Rp 550 Juta,"Gn. Sari Ilir, Balikpapan",2,1,78 m²,40 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
135,BALIKPAPAN REGENCY,Rp 500 Juta,"Balikpapan Selatan, Balikpapan",2,1,96 m²,96 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
136,PERUM GRIYA PERMATA ASRI,Rp 900 Juta,"Balikpapan Selatan, Balikpapan",3,1,200 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
137,RUMAH MINIMALIS SIAP HUNI DI AREA WIKA,Rp 750 Juta,"Balikpapan Utara, Balikpapan",2,1,120 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
138,turun harga!!! Balikpapan Di  rumah Ciputra Citra Bukit Indah BDI Balikpapan dibawah harga pasaran,Rp 925 Juta,"Balikpapan Selatan, Balikpapan",2,1,90 m²,60 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,,,,,,,,,,,Dijual
139,RUMAH BAGUS DI CITRA BUKIT INDAH GREEN VILLE KOTA BALIK PAPAN KALTIM,"Rp 1,7 Miliar","Balikpapan Selatan, Balikpapan",3,2,191 m²,215 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
140,RUMAH BAGUS DI CITRA BUKIT INDAH GREEN VILLE KOTA BALIK PAPAN KALTIM,"Rp 1,7 Miliar","Balikpapan Selatan, Balikpapan",3,2,191 m²,215 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
141,BALIKPAPAN RUMAH WIKA 3 KAMAR TIDUR (LM330),Rp 850 Juta,"Balikpapan Utara, Balikpapan",3,2,120 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
142,330 Balikpapan Taman Sari Bukit Mutiara Rumah Wika 3 Kamar Tidur,Rp 875 Juta,"Balikpapan Utara, Balikpapan",3,2,120 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
143,Hunian Dikawasan Sekolahan Islam Terpadu,"Rp 1,9 Miliar","Balikpapan Baru, Balikpapan",3,1,195 m²,130 m²,2,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Bagus,Dijual
