,Judul,Harga,Lokasi,Hyperlink,Img_Hyperlink,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
554,"TURUN HARGA RUMAH BARU, CITRA INDAH","Rp 4,6 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos8955646/,https://picture.rumah123.com/r123/720x420-crop/house/ho89/8955646/original/hos8955646-rumah-di-jual-di-balikpapan-selatan-di-balikpapan-16335773273084.jpg,5,4,425 m²,300 m²,1,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,1,,,,,,,Dijual
555,TURUN HARGA RUMAH BARU,"Rp 4,5 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos8955542/,https://picture.rumah123.com/r123/720x420-crop/house/ho89/8955542/original/hos8955542-rumah-di-jual-di-balikpapan-selatan-di-balikpapan-1633576482544.jpg,5,5,250 m²,300 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,2,,,,,,,Dijual
556,TURUN HARGA RUMAH MEWAH TENGAH KOTA pusat kota perum ELITE,Rp 12 Miliar,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos8955338/,https://picture.rumah123.com/r123/720x420-crop/house/ho89/8955338/original/hos8955338-rumah-di-jual-di-balikpapan-selatan-di-balikpapan-16335751564307.jpg,5,4,700 m²,550 m²,10,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,Tidak,Tidak,Furnished,2,,Tidak,,PAM atau PDAM,Tidak,Bagus,Dijual
557,RUMAH MEWAH ELEGAN DI PINGGIR JALAN BESAR KOTA BALIKPAPAN,"Rp 4,2 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos8921983/,https://picture.rumah123.com/r123/720x420-crop/house/ho89/8921983/original/hos8921983-rumah-di-jual-di-balikpapan-utara-balikpapan-1632979124.jpg,5,4,540 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,2,,,,,,,,,,,,Dijual
558,"BALIKPAPAN,  PONDOK KARYA AGUNG BESAR (Y140)","Rp 2,2 Miliar","Sepinggan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos8509999/,https://picture.rumah123.com/r123/720x420-crop/house/ho85/8509999/original/hos8509999-rumah-di-jual-di-sepinggan-balikpapan-1625102294.jpg,5,2,403 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
559,Rumah Mewah Harga Murah 250 Meter Jalan Poros,"Rp 1,06 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos8478791/,https://picture.rumah123.com/r123/720x420-crop/house/ho84/8478791/original/hos8478791-rumah-di-jual-di-balikpapan-selatan-balikpapan-1624511831544.jpg,3,2,168 m²,90 m²,1,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,1,Ya,Ya,Unfurnished,2,Pemukiman Warga,Ya,2 Mobil,Sumur Bor,Tidak,Baru,Dijual
560,Rumah Asri View Lapangan Golf,"Rp 2,64 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos4535268/,https://picture.rumah123.com/r123/720x420-crop/house/ho45/4535268/original/hos4535268-rumah-di-jual-di-balikpapan-selatan-balikpapan-15567768215903.jpg,4,4,130 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,,,Unfurnished,2,,,,,,Baru,Dijual
561,TURUN HARGA!  CEPAT RUMAH CANTIK SIAP HUNI 2 LANTAI TAMANSARI BUKIT MUTIARA (WIKA) BALIKPAPAN KAL-TIM,"Rp 3,5 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16236520/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16236520/original/hos16236520-rumah-di-jual-di-balikpapan-utara-balikpapan-1706700717.jpg,4,5,319 m²,490 m²,2,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,2,Ya,Ya,,2,Pemukiman Warga,Ya,2 Mobil,,Ya,Sudah Renovasi,Dijual
562,BALIKPAPAN RUMAH PINGGIR JALAN,Rp 700 Juta,"Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16230816/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16230816/original/hos16230816-rumah-di-jual-di-balikpapan-tengah-balikpapan-1706684876.jpg,3,2,144 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
563,BALIKPAPAN PERUMAHAN BALIKPAPAN BARU,"Rp 3,6 Miliar","Balikpapan Baru, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16230757/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16230757/original/hos16230757-rumah-di-jual-di-balikpapan-baru-balikpapan-1706684674.jpg,4,3,180 m²,250 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
