,Judul,Harga,Lokasi,Hyperlink,Img_Hyperlink,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
798,"rumah megah dan cantik di balikpapan baru
",Rp 5 Miliar,"Balikpapan Baru, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15613033/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1730302/2023-11-28-10-39-09-f803d40b-d487-47f3-8bb9-ad666e9e026f.jpg,,,300 m²,400 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,1,,Tidak,,PAM atau PDAM,Tidak,Bagus,Dijual
799,"Dijual Rumah di Perumahan Balikpapan Regency Cluster Tapak Siring, Balikpapan",Rp 2 Miliar,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15609183/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1082865/2023-11-28-07-28-29-6dbef77e-b74c-4859-97b4-a62dac03a8bb.jpg,2,1,150 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,1,Ya,Ya,Furnished,1,,Tidak,,,Tidak,,Dijual
800,"Rumah Ayda Balikpapan Selatan, Kalimantan Timur","Rp 1,99 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15608344/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1650673/2023-11-28-06-53-49-a0827908-649c-4041-96d3-49712503b68c.jpg,2,2,399 m²,288 m²,,Rumah,HGB - Hak Guna Bangunan,4400 Watt,,1,Ya,Ya,,1,,Ya,,,Tidak,Bagus,Dijual
801,"Rumah Ayda Balikpapan Selatan, Kalimantan Timur",Rp 522 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15608305/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1650673/2023-11-28-06-51-28-fcdfbf85-60bd-4c2d-9d51-939afe66c029.jpg,2,1,164 m²,173 m²,,Rumah,HGB - Hak Guna Bangunan,4400 Watt,,1,Ya,Ya,,1,,Ya,,,Tidak,Bagus,Dijual
802,"Rumah Ayda Balikpapan Utara, Kalimantan Timur",Rp 949 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15608250/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1650673/2023-11-28-06-49-08-c146b06c-4a96-4e21-8e8c-c57f860d82ce.jpg,3,1,380 m²,172 m²,,Rumah,HGB - Hak Guna Bangunan,4400 Watt,,1,Ya,Ya,,1,,Ya,,,Tidak,Bagus,Dijual
803,"Rumah Ayda Balikpapan Tengah, Kalimantan Timur","Rp 1,01 Miliar","Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15608201/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1650673/2023-11-28-06-46-50-7d69878c-198b-4695-9c30-eb6e5fa00ddd.jpg,6,2,306 m²,196 m²,,Rumah,HGB - Hak Guna Bangunan,4400 Watt,,1,Ya,Ya,,1,,Ya,,,Tidak,Bagus,Dijual
804,"Rumah Ayda Balikpapan Tengah, Kalimantan Timur",Rp 770 Juta,"Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15608077/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1650673/2023-11-28-06-40-54-e04a33da-ca09-4afa-a46b-d6cb3d8f684a.jpg,3,1,174 m²,210 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,1,Ya,Ya,,1,,Ya,,,Tidak,Bagus,Dijual
805,"Rumah Ayda Balikpapan Utara, Kalimantan Timur",Rp 952 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15608007/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1650673/2023-11-28-06-37-15-e33806b8-bc6f-415d-9cba-0b7791b40a00.jpg,3,1,198 m²,125 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,1,Ya,Ya,,1,,Ya,,,Tidak,Bagus,Dijual
806,RUMAH CANTIK SATU LANTAI DI PERUMAHAN BDI,"Rp 1,7 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15605325/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15605325/original/hos15605325-rumah-di-jual-di-balikpapan-selatan-balikpapan-1701142518.jpg,3,2,155 m²,82 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
807,"Rumah Cantik, Siap Huni, Cluster Aman (WIKA)",Rp 825 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15539744/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15539744/original/hos15539744-rumah-di-jual-di-balikpapan-utara-balikpapan-1700543913.jpg,3,2,120 m²,80 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
