,Judul,Harga,Lokasi,Hyperlink,Img_Hyperlink,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
1261,RUMAH MEWAH ELEGAN DI PINGGIR JALAN BESAR KOTA BALIKPAPAN,Rp 4 Miliar,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos8430946/,https://picture.rumah123.com/r123/720x420-crop/house/ho84/8430946/original/hos8430946-rumah-di-jual-di-balikpapan-utara-balikpapan-1623641242.jpg,5,2,538 m²,260 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,2,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1262,Rumah Regency dua lantai,"Rp 1,8 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos8338386/,https://picture.rumah123.com/r123/720x420-crop/house/ho83/8338386/original/hos8338386-rumah-di-jual-di-balikpapan-selatan-balikpapan-16218332980801.jpg,3,2,152 m²,130 m²,,Rumah,SHM - Sertifikat Hak Milik,,,,Tidak,Tidak,Unfurnished,1,,Tidak,,,Tidak,Bagus,Dijual
1263,Rumah hook perum Wika,"Rp 2,2 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos7370707/,https://picture.rumah123.com/r123/720x420-crop/house/ho73/7370707/original/hos7370707-rumah-di-jual-di-balikpapan-selatan-balikpapan-16012857151024.jpg,3,2,300 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,,,,,,Unfurnished,1,,,,,,,Dijual
1264,Rumah Cepat 2 Lantai Costarica Balikpapan Regency,"Rp 1,2 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos1781260/,https://picture.rumah123.com/r123-images/720x420-crop/customer/553144/2023-08-25-09-37-55-01447164-266b-4ea3-ab6e-0825c397f8fe.jpg,3,2,56 m²,150 m²,2,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Ya,Tidak,Semi Furnished,2,,Tidak,,PAM atau PDAM,Tidak,Bagus,Dijual
1265,RUMAH MINIMALIS STRATEGIS FULL RENOVASI MT. HARYONO DALAM BIMA JAMRUD BALIKPAPAN KALTIM,"Rp 1,4 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16122231/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16122231/original/hos16122231-rumah-di-jual-di-balikpapan-selatan-balikpapan-1705881596.jpg,2,2,120 m²,50 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,1,Tidak,Tidak,Unfurnished,1,Pemukiman Warga,Ya,2 Mobil,,Tidak,Sudah Renovasi,Dijual
1266,"BALIKPAPAN, RUMAH BARU 2 LANTAI PINEVILLE SINARMASLAND","Rp 1,81 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16122195/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16122195/original/hos16122195-rumah-di-jual-di-balikpapan-utara-balikpapan-1705879632.jpg,2,2,108 m²,61 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",2200 Watt,,1,Tidak,Tidak,Unfurnished,2,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Baru,Dijual
1267,Hunian Bagus Full Furnish di Jl Wonorejo Balikpapan Utara,"Rp 1,7 Miliar","Balikpapan Kota, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16120840/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1476447/2024-01-21-13-44-05-475ad4a5-ef4b-4ca0-85d8-29634fb85487.jpg,3,2,348 m²,145 m²,,Rumah,SHM - Sertifikat Hak Milik,,,,Tidak,Tidak,Furnished,1,,Tidak,,,Tidak,Bagus,Dijual
1268,Rumah sederhana di sepinggan dekat  bandara,Rp 500 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16043184/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1929388/2024-01-14-09-48-09-ad47099e-35f0-4160-87f9-4c10a8c76190.jpg,3,1,180 m²,48 m²,3,Rumah,SHM - Sertifikat Hak Milik,900 Watt,,1,Ya,Ya,Unfurnished,1,Perkotaan,Ya,2 Mobil,PAM atau PDAM,Tidak,Sudah Renovasi,Dijual
1269,RUMAH MINIMALIS BORNEO PARADISO DEKAT PANTAI,Rp 450 Juta,"Balikpapan Timur, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16042853/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1929388/2024-01-14-08-55-35-f7689271-399a-4a09-97ac-fc5f5d8993ff.jpg,2,1,72 m²,70 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Ya,Ya,Unfurnished,2,Perkotaan,Ya,2 Mobil,Sumur Galian,Tidak,Sudah Renovasi,Dijual
1270,RUMAH MINIMALIS GRAND CITY  BALIKPAPAN ,Rp 950 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15808496/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1929388/2023-12-17-10-53-46-0cc2bb16-8841-4173-904b-a3b5cb45ab4f.jpg,2,2,72 m²,45 m²,2,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,1,Ya,Ya,Unfurnished,2,Perkotaan,Ya,2 Mobil,Sumur Galian,Tidak,Bagus,Dijual
