,Unnamed: 0,Judul,Harga,Lokasi,Hyperlink,Img_Hyperlink,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
156,657,DI JUAL CEPAT RUMAH MEWAH DI KAWASAN PERUMAHAN PGRI,"Rp 2,3 Miliar","Gunung Bahagia, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14624163/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14624163/original/hos14624163-rumah-di-jual-di-gunung-bahagia-balikpapan-1693358778.jpg,3.0,2.0,335 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
157,658,RUMAH DUA LANTAI   DI GRAND CITY,"Rp 1,35 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14623976/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14623976/original/hos14623976-rumah-di-jual-di-balikpapan-utara-balikpapan-1693357046.jpg,3.0,2.0,72 m²,72 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
158,659,HARGA SPESIAL RUMAH KANTOR 2LT DITENGAH KOTA,"Rp 2,1 Miliar","Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14623883/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14623883/original/hos14623883-rumah-di-jual-di-balikpapan-tengah-balikpapan-1693355893.jpg,8.0,6.0,429 m²,429 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,,,,,,,,,,,Dijual
159,660,RUMAH ASRI DALAM CLUSTER,"Rp 1,8 Miliar","Damai, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14562900/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14562900/original/hos14562900-rumah-di-jual-di-damai-balikpapan-1692779167.jpg,3.0,1.0,195 m²,130 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1.0,,,,,,,,,,,,Dijual
160,661,Dijual Cepat Rumah Lebar 18m di Wika Balikpapan,"Rp 2,5 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14562604/,https://picture.rumah123.com/r123-images/720x420-crop/customer/553144/2023-08-23-08-06-20-2beaec20-31a5-4384-b73e-065c6c158d60.jpg,4.0,2.0,307 m²,250 m²,2.0,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1.0,2.0,Ya,Ya,Unfurnished,2.0,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Sudah Renovasi,Dijual
161,662,INVESTASI RUMAH KOST  DI PINGGIR JALAN UTAMA PATIMURA BATU AMPAR,Rp 16 Miliar,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14554819/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14554819/original/hos14554819-rumah-di-jual-di-balikpapan-utara-balikpapan-1692754367.jpg,29.0,29.0,550 m²,1260 m²,,Rumah,SHM - Sertifikat Hak Milik,13900 Watt,,,,,,,,,,,,,Dijual
162,663,"rumah minimalist bersih,Aman, Nyaman di batakan",Rp 400 Juta,"Batakan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14500926/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14500926/original/hos14500926-rumah-di-jual-di-batakan-balikpapan-1692159571.jpg,2.0,1.0,72 m²,144 m²,1.0,Rumah,SHM - Sertifikat Hak Milik,900 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Bagus,Dijual
163,664,BALIKPAPAN PERUM BDS 2,Rp 700 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14498856/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14498856/original/hos14498856-rumah-di-jual-di-balikpapan-selatan-balikpapan-1692149303.jpg,2.0,2.0,100 m²,130 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
164,665,PERUM BALIKPAPAN KOTA,Rp 600 Juta,"Sepinggan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14498850/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14498850/original/hos14498850-rumah-di-jual-di-sepinggan-balikpapan-1692149277.jpg,3.0,2.0,150 m²,130 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
165,666,BALIKPAPAN PERUM PONDOK KARYA AGUNG (POKA),Rp 950 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14498849/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14498849/original/hos14498849-rumah-di-jual-di-balikpapan-selatan-balikpapan-1692346996.jpg,4.0,3.0,180 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
166,667,BALIKPAPAN RUMAH 2 LANTAI BALIKPAPAN BARU,"Rp 4,5 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14498844/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14498844/original/hos14498844-rumah-di-jual-di-balikpapan-selatan-balikpapan-1692346999.jpg,4.0,3.0,400 m²,210 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1.0,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
