Unnamed: 0,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik
525,RUMAH MINiMALIS SIAP HUNI DI  KEBUN SAYUR,3000.0,"Marga Sari, Balikpapan",7.0,7.0,600,550,SHM - Sertifikat Hak Milik,1300 Watt
526,RUMAH MINIMALIS MODERN SIAP HUNI DI SEPINGGAN PRATAMA,2500.0,"Sepinggan, Balikpapan",3.0,2.0,176,80,SHM - Sertifikat Hak Milik,2200 Watt
527,RUMAH MINIMALIS SIAP HUNI DI TAMAN SARI BUKIT MUTIARA (WIKA),1500.0,"Balikpapan Utara, Balikpapan",4.0,2.0,200,200,SHM - Sertifikat Hak Milik,3500 Watt
528,RUMAH MINIMALIS SIAP HUNI BALIKPAPAN REGENCY,995.0,"Balikpapan Selatan, Balikpapan",3.0,1.0,180,60,SHM - Sertifikat Hak Milik,1300 Watt
529,RUMAH 2 LANTAI BARU SElESAI RENOVvASI BALIKPAPAN REGENCY,1500.0,"Balikpapan Selatan, Balikpapan",4.0,3.0,157,200,SHM - Sertifikat Hak Milik,2200 Watt
530,RUMAH MINIMALIS SIAP HUNI DI TAMAN SARI BUKIT MUTIARA,1300.0,"Balikpapan Utara, Balikpapan",3.0,1.0,144,110,SHM - Sertifikat Hak Milik,1300 Watt
531,BALIKPAPAN BARU,2500.0,"Damai, Balikpapan",4.0,2.0,200,275,SHM - Sertifikat Hak Milik,2200 Watt
532,BORNEO PARADISO,900.0,"Balikpapan Selatan, Balikpapan",5.0,2.0,178,100,SHM - Sertifikat Hak Milik,1300 Watt
533,GRAHA INDAH,600.0,"Balikpapan Utara, Balikpapan",3.0,1.0,108,100,SHM - Sertifikat Hak Milik,1300 Watt
534,RUMAH 2 LANTAI AREA SEKOLAHAN ,4700.0,"Balikpapan Utara, Balikpapan",5.0,4.0,538,250,SHM - Sertifikat Hak Milik,3500 Watt
535,RUMAH CANTIK DI KOMPLEK PERUMAHAN ELIT,2500.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,178,80,SHM - Sertifikat Hak Milik,2200 Watt
536,RUMAH MINIMALIS DITENGAH KOTA balikpapan,1000.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,180,108,SHM - Sertifikat Hak Milik,900 Watt
537,DI JUAL RUMAH STRATEGIS DI KAWASAN PERUMAHAN BALIKPAPAN BARU,2700.0,"Damai, Balikpapan",3.0,2.0,200,120,HGB - Hak Guna Bangunan,3500 Watt
538,RUMAH SATU LANTAI DI KAWASAN PERUMAHAN BORNEO PARADISO,400.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,60,30,SHM - Sertifikat Hak Milik,1300 Watt
